dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000149,NI data zone,17,61,176,22,340
N20000150,NI data zone,10,33,64,7,207
N20000151,NI data zone,27,54,194,20,314
N20000152,NI data zone,28,31,118,19,172
N20000153,NI data zone,16,51,130,8,342
N20000154,NI data zone,25,69,182,17,493
N20000155,NI data zone,20,27,94,6,208
N20000156,NI data zone,37,79,219,26,313
N20000157,NI data zone,31,71,190,16,367
N20000158,NI data zone,29,48,183,29,307
N20000159,NI data zone,15,41,61,5,263
N20000160,NI data zone,21,35,98,27,183
N20000161,NI data zone,21,50,219,26,231
N20000162,NI data zone,31,60,186,34,437
N20000163,NI data zone,21,52,206,13,238
N20000164,NI data zone,23,61,205,24,257
N20000165,NI data zone,25,43,172,17,203
N20000166,NI data zone,21,30,103,16,223
N20000167,NI data zone,10,26,89,12,169
N20000168,NI data zone,18,50,103,6,251
N20000169,NI data zone,15,41,108,3,262
N20000170,NI data zone,15,42,140,7,270
N20000171,NI data zone,20,51,149,14,222
N20000172,NI data zone,35,59,208,23,272
N20000173,NI data zone,20,55,183,19,362
N20000174,NI data zone,30,61,144,10,378
N20000175,NI data zone,23,38,160,8,213
N20000176,NI data zone,19,41,150,13,188
N20000177,NI data zone,16,19,109,14,195
N20000178,NI data zone,24,37,75,9,295
N20000179,NI data zone,26,60,173,16,316
N20000180,NI data zone,15,38,111,11,308
N20000181,NI data zone,14,56,79,14,298
N20000182,NI data zone,30,57,137,9,449
N20000183,NI data zone,11,46,99,8,260
N20000184,NI data zone,12,59,71,2,272
N20000185,NI data zone,9,19,71,7,139
N20000186,NI data zone,11,13,60,2,116
N20000187,NI data zone,14,43,69,8,237
N20000188,NI data zone,23,33,139,29,277
N20000189,NI data zone,26,58,109,7,372
N20000190,NI data zone,18,44,104,9,184
N20000191,NI data zone,16,36,95,9,251
N20000192,NI data zone,9,22,52,6,169
N20000193,NI data zone,6,18,51,6,157
N20000194,NI data zone,10,39,65,3,240
N20000195,NI data zone,17,53,92,9,359
