dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20001662,NI data zone,34,64,82,44,7
N20001663,NI data zone,71,80,93,41,10
N20001664,NI data zone,54,46,31,16,3
N20001665,NI data zone,92,78,36,18,1
N20001666,NI data zone,64,75,46,15,0
N20001667,NI data zone,74,62,34,8,0
N20001668,NI data zone,105,72,36,14,3
N20001669,NI data zone,69,61,44,18,6
N20001670,NI data zone,55,43,24,7,0
N20001671,NI data zone,51,46,48,28,5
N20001672,NI data zone,81,77,45,28,1
N20001673,NI data zone,106,61,41,9,0
N20001674,NI data zone,102,66,44,18,0
N20001675,NI data zone,84,78,36,16,0
N20001676,NI data zone,75,66,42,17,2
N20001677,NI data zone,46,52,39,11,1
N20001678,NI data zone,75,68,33,9,0
N20001679,NI data zone,54,42,29,13,2
N20001680,NI data zone,104,71,34,7,0
N20001681,NI data zone,84,58,32,8,1
N20001682,NI data zone,67,57,31,11,2
N20001683,NI data zone,98,100,57,12,1
N20001684,NI data zone,128,86,37,5,0
N20001685,NI data zone,93,85,45,27,1
N20001686,NI data zone,122,97,31,5,0
N20001687,NI data zone,118,53,44,12,0
N20001688,NI data zone,86,41,35,4,0
N20001689,NI data zone,103,96,45,6,0
N20001690,NI data zone,42,39,52,25,0
N20001691,NI data zone,57,72,36,14,0
N20001692,NI data zone,120,75,46,3,0
N20001693,NI data zone,48,79,81,57,12
N20001694,NI data zone,43,38,47,12,4
N20001695,NI data zone,43,60,62,27,4
N20001696,NI data zone,130,60,38,7,0
N20001697,NI data zone,83,65,32,5,0
N20001698,NI data zone,59,81,67,26,9
N20001699,NI data zone,86,82,27,4,0
N20001700,NI data zone,41,68,78,55,6
N20001701,NI data zone,30,50,68,44,3
N20001702,NI data zone,129,90,62,14,1
N20001703,NI data zone,23,37,31,16,0
N20001704,NI data zone,34,41,54,23,1
N20001705,NI data zone,67,62,48,12,0
N20001706,NI data zone,47,62,72,28,8
N20001707,NI data zone,43,57,61,23,1
N20001708,NI data zone,126,55,19,4,0
N20001709,NI data zone,120,53,22,3,1
N20001710,NI data zone,145,81,36,10,0
N20001711,NI data zone,59,59,22,4,0
N20001712,NI data zone,70,52,45,11,1
N20001713,NI data zone,90,67,33,8,1
N20001714,NI data zone,58,51,36,5,0
N20001715,NI data zone,128,105,46,10,0
N20001716,NI data zone,142,100,53,16,2
N20001717,NI data zone,46,34,21,6,0
N20001718,NI data zone,37,42,36,18,0
N20001719,NI data zone,98,47,29,7,2
N20001720,NI data zone,109,79,53,15,1
N20001721,NI data zone,89,80,57,16,1
N20001722,NI data zone,114,85,45,8,0
N20001723,NI data zone,111,84,71,20,1
N20001724,NI data zone,89,55,28,11,0
N20001725,NI data zone,101,62,29,5,0
N20001726,NI data zone,90,76,39,7,1
N20001727,NI data zone,83,68,32,8,1
N20001728,NI data zone,35,44,52,20,0
N20001729,NI data zone,108,82,58,26,1
N20001730,NI data zone,39,38,21,2,0
N20001731,NI data zone,102,69,45,11,2
N20002287,NI data zone,83,52,27,7,0
N20002288,NI data zone,152,96,35,4,1
N20002289,NI data zone,112,111,63,13,0
N20002290,NI data zone,88,47,27,6,0
N20002291,NI data zone,62,54,26,14,2
N20002292,NI data zone,142,42,24,5,0
N20002293,NI data zone,70,61,26,7,1
N20002294,NI data zone,88,64,31,4,0
N20002295,NI data zone,83,82,45,14,0
N20002296,NI data zone,137,87,32,6,0
N20002297,NI data zone,86,76,49,8,1
N20002298,NI data zone,89,58,19,5,0
N20002299,NI data zone,92,60,20,4,1
N20002300,NI data zone,116,57,22,5,1
N20002301,NI data zone,58,51,21,1,0
N20002302,NI data zone,79,65,19,6,0
N20002303,NI data zone,126,60,16,5,0
N20002304,NI data zone,82,47,21,5,0
N20002306,NI data zone,159,51,10,2,0
N20002308,NI data zone,144,44,11,2,0
N20002309,NI data zone,174,52,8,0,0
N20002310,NI data zone,168,59,14,2,0
N20002311,NI data zone,63,62,24,2,1
N20002312,NI data zone,150,57,19,9,0
N20002313,NI data zone,99,70,31,1,0
N20002314,NI data zone,65,36,10,2,1
N20002315,NI data zone,81,70,28,11,0
N20002316,NI data zone,60,33,38,10,0
N20002317,NI data zone,93,83,27,3,0
N20002318,NI data zone,51,52,17,2,0
N20002319,NI data zone,128,89,48,9,0
N20002320,NI data zone,198,46,15,2,0
N20002321,NI data zone,136,47,8,2,0
N20002322,NI data zone,130,74,34,5,0
N20002323,NI data zone,137,55,9,6,0
N20002324,NI data zone,109,91,35,9,1
N20002325,NI data zone,91,77,56,11,0
N20002327,NI data zone,73,59,18,2,0
N20002328,NI data zone,97,65,38,3,0
N20002329,NI data zone,74,97,66,34,8
N20002332,NI data zone,71,99,75,26,5
N20002334,NI data zone,68,76,78,44,3
N20002335,NI data zone,29,58,60,22,2
N20002336,NI data zone,150,60,13,1,0
N20002341,NI data zone,76,64,35,36,3
N20002342,NI data zone,167,33,13,0,0
N20002344,NI data zone,150,55,23,1,0
N20002349,NI data zone,168,48,6,0,0
N20002351,NI data zone,161,76,20,7,1
N20002364,NI data zone,46,61,45,13,3
N20002548,NI data zone,99,92,40,6,0
N20002549,NI data zone,93,58,33,7,1
N20002550,NI data zone,107,50,37,3,0
N20002551,NI data zone,71,65,28,6,0
N20002552,NI data zone,82,47,31,5,1
N20002553,NI data zone,62,51,37,7,0
N20002554,NI data zone,42,59,45,23,5
N20002555,NI data zone,103,59,42,9,1
N20002556,NI data zone,66,60,57,29,5
N20002557,NI data zone,114,72,39,3,0
N20002558,NI data zone,46,50,59,31,10
N20002559,NI data zone,61,59,47,7,1
N20002560,NI data zone,47,51,44,13,2
N20002561,NI data zone,77,67,42,16,1
N20002562,NI data zone,83,76,49,13,4
N20002563,NI data zone,124,93,50,5,0
N20002564,NI data zone,122,90,40,14,1
N20002565,NI data zone,68,30,12,2,0
N20002566,NI data zone,89,45,20,7,0
N20002567,NI data zone,109,69,43,14,0
N20002568,NI data zone,72,45,27,11,2
N20002569,NI data zone,92,34,9,1,0
N20002570,NI data zone,107,49,15,1,0
N20002571,NI data zone,90,69,33,4,0
N20002572,NI data zone,104,71,36,6,0
N20002573,NI data zone,106,63,25,6,1
N20002574,NI data zone,140,80,35,3,0
N20002575,NI data zone,7,35,37,25,2
N20002576,NI data zone,83,71,58,22,4
N20002577,NI data zone,89,56,36,11,1
N20002578,NI data zone,112,64,22,13,4
N20002579,NI data zone,127,61,29,5,0
N20002580,NI data zone,86,61,26,6,1
N20002581,NI data zone,102,83,29,6,1
N20002582,NI data zone,102,84,30,4,2
N20002584,NI data zone,128,59,40,7,1
N20002586,NI data zone,120,63,40,9,1
N20002587,NI data zone,31,59,30,18,1
N20002588,NI data zone,50,83,77,25,3
N20002589,NI data zone,56,69,47,24,1
N20002590,NI data zone,85,56,30,3,0
N20002591,NI data zone,60,67,23,3,0
N20002592,NI data zone,85,60,25,3,0
N20002593,NI data zone,113,91,36,11,1
N20002594,NI data zone,48,69,67,43,6
N20002595,NI data zone,106,95,44,9,0
N20002596,NI data zone,35,44,45,11,1
N20002597,NI data zone,65,80,34,3,0
N20002598,NI data zone,91,50,13,1,0
N20002599,NI data zone,78,58,30,2,0
N20002600,NI data zone,103,106,39,6,0
N20002601,NI data zone,52,58,54,22,5
N20002602,NI data zone,71,63,32,9,0
N20002603,NI data zone,113,73,44,1,0
N20002604,NI data zone,105,106,77,24,6
N20002605,NI data zone,72,76,54,8,0
N20002606,NI data zone,113,92,48,8,0
N20002607,NI data zone,62,46,22,3,0
N20002608,NI data zone,26,48,41,20,2
N20002609,NI data zone,97,58,18,4,0
N20002610,NI data zone,67,54,32,6,0
N20002611,NI data zone,74,91,55,30,5
N20002612,NI data zone,69,66,55,16,1
N20002613,NI data zone,108,91,61,24,3
N20002614,NI data zone,33,76,77,51,13
N20002615,NI data zone,46,79,65,30,7
N20002616,NI data zone,29,49,37,24,6
N20002617,NI data zone,71,81,66,41,1
N20002618,NI data zone,96,31,13,2,0
N20002619,NI data zone,33,99,70,48,5
N20002620,NI data zone,57,66,101,53,3
N20002621,NI data zone,108,47,23,0,0
N20002622,NI data zone,32,65,54,27,8
N20002623,NI data zone,67,59,16,3,0
N20002624,NI data zone,97,72,12,1,0
N20002625,NI data zone,36,47,42,32,5
N20002626,NI data zone,46,51,53,13,0
N20002627,NI data zone,20,45,46,21,0
N20002628,NI data zone,94,80,42,19,0
N20002629,NI data zone,61,75,99,45,1
N20002630,NI data zone,72,49,15,1,0
N20002631,NI data zone,45,65,58,28,2
N20002632,NI data zone,95,67,27,4,0
N20002633,NI data zone,89,80,30,3,0
N20002634,NI data zone,111,80,23,3,0
N20002635,NI data zone,79,50,15,3,0
N20002636,NI data zone,48,35,25,9,3
N20002637,NI data zone,129,54,22,1,0
N20002638,NI data zone,79,45,24,6,0
N20002639,NI data zone,114,83,32,11,1
N20002640,NI data zone,112,89,50,19,4
N20002641,NI data zone,75,60,19,9,0
N20002642,NI data zone,82,69,35,10,0
N20002643,NI data zone,96,50,28,8,0
N20002644,NI data zone,68,41,30,8,0
N20002645,NI data zone,112,69,49,10,1
N20002646,NI data zone,144,64,25,8,0
N20002647,NI data zone,123,85,38,5,1
N20002648,NI data zone,130,73,28,2,1
N20002649,NI data zone,69,47,29,8,1
N20002650,NI data zone,69,51,29,7,4
N20002651,NI data zone,76,52,24,3,0
N20002652,NI data zone,116,83,51,13,4
N20002653,NI data zone,90,71,39,7,0
N20002654,NI data zone,154,82,29,2,0
N20002655,NI data zone,105,71,40,13,2
N20002656,NI data zone,72,79,81,19,1
N20002657,NI data zone,33,53,29,21,3
N20002658,NI data zone,112,74,46,4,0
N20002659,NI data zone,51,28,27,7,1
N20002660,NI data zone,88,56,25,2,0
N20002661,NI data zone,65,48,38,14,4
N20002662,NI data zone,109,75,36,9,0
N20002663,NI data zone,129,109,32,2,1
N20002664,NI data zone,110,56,30,3,0
N20002665,NI data zone,25,36,46,40,7
N20002666,NI data zone,45,85,56,39,7
N20002667,NI data zone,63,50,39,10,0
N20002668,NI data zone,105,70,42,5,0
N20002669,NI data zone,58,83,73,18,0
N20002670,NI data zone,80,86,55,7,0
N20002671,NI data zone,57,99,95,41,2
N20002672,NI data zone,43,47,18,4,1
N20002673,NI data zone,48,58,42,22,0
N20002674,NI data zone,75,64,30,3,0
N20002675,NI data zone,61,43,18,7,0
N20002676,NI data zone,100,99,42,3,1
N20002677,NI data zone,84,49,23,1,0
N20002678,NI data zone,107,77,43,7,0
N20002679,NI data zone,83,49,27,2,0
N20002680,NI data zone,60,59,40,26,3
N20002681,NI data zone,116,66,36,9,1
N20002682,NI data zone,124,85,46,11,2
N20002683,NI data zone,90,57,33,14,2
N20002684,NI data zone,52,63,21,3,2
N20002685,NI data zone,59,58,22,5,0
N20002686,NI data zone,46,50,48,17,5
N20002687,NI data zone,105,86,47,16,3
N20002688,NI data zone,44,61,57,21,5
N20002689,NI data zone,69,74,58,21,6
N20002690,NI data zone,61,57,29,3,0
N20002691,NI data zone,110,82,45,5,0
N20002692,NI data zone,102,58,24,2,0
N20002693,NI data zone,90,63,14,2,0
N20002694,NI data zone,81,47,25,9,0
N20002695,NI data zone,95,80,30,4,0
N20002696,NI data zone,68,70,27,8,0
N20002697,NI data zone,94,52,23,5,0
N20002698,NI data zone,41,60,58,28,5
N20002699,NI data zone,102,82,40,6,1
N20002700,NI data zone,89,49,26,2,0
N20002701,NI data zone,55,51,42,10,1
N20002702,NI data zone,49,44,38,13,1
N20002703,NI data zone,44,37,31,18,3
N20002704,NI data zone,46,53,46,16,1
N20002705,NI data zone,90,58,30,5,0
N20002706,NI data zone,60,35,28,3,1
N20002707,NI data zone,63,59,39,3,0
N20002708,NI data zone,42,67,54,23,6
N20002709,NI data zone,83,113,86,25,4
N20002710,NI data zone,72,100,61,23,1
N20002711,NI data zone,57,42,65,21,6
N20002712,NI data zone,32,45,47,18,4
N20002713,NI data zone,70,92,44,7,0
N20002714,NI data zone,69,81,52,27,1
N20002715,NI data zone,83,75,48,10,0
N20002716,NI data zone,154,87,44,14,0
N20002717,NI data zone,41,51,39,27,1
N20002718,NI data zone,84,77,50,12,2
N20002719,NI data zone,44,62,58,31,4
N20002720,NI data zone,55,75,51,21,4
N20002721,NI data zone,15,30,41,39,12
N20002722,NI data zone,78,76,26,4,0
N20002723,NI data zone,36,65,64,34,1
N20002724,NI data zone,49,62,66,17,1
N20002725,NI data zone,38,51,30,8,1
N20002726,NI data zone,113,79,47,9,0
N20002727,NI data zone,66,77,53,26,6
N20002728,NI data zone,83,61,31,9,1
N20002729,NI data zone,17,33,34,17,2
N20002730,NI data zone,96,33,8,1,0
N20002731,NI data zone,132,65,33,8,0
N20002732,NI data zone,61,78,46,18,3
N20002733,NI data zone,106,41,13,2,0
N20002734,NI data zone,40,41,59,18,1
N20002735,NI data zone,97,64,61,25,1
N20002736,NI data zone,73,65,28,5,0
N20002737,NI data zone,110,66,30,4,0
N20002738,NI data zone,115,44,9,5,0
N20002739,NI data zone,112,103,56,11,2
N20002740,NI data zone,105,86,65,15,3
N20002741,NI data zone,72,68,71,12,2
N20002742,NI data zone,137,109,59,6,1
N20002743,NI data zone,147,141,57,6,0
N20002744,NI data zone,153,106,30,9,0
N20002745,NI data zone,109,67,26,10,0
N20002746,NI data zone,121,89,35,7,0
N20002747,NI data zone,94,94,30,7,0
N20002748,NI data zone,89,59,43,8,2
N20002749,NI data zone,80,50,18,3,1
N20002750,NI data zone,81,42,17,4,0
N20002751,NI data zone,113,89,30,3,0
N20002752,NI data zone,44,51,33,12,2
N20002753,NI data zone,75,69,26,5,0
N20002754,NI data zone,59,53,18,3,1
N20002755,NI data zone,113,85,21,3,0
N20002756,NI data zone,58,55,63,31,11
N20002757,NI data zone,101,66,19,7,0
N20002758,NI data zone,81,69,32,1,0
N20002759,NI data zone,35,40,42,18,3
N20002760,NI data zone,85,79,55,17,1
N20002761,NI data zone,104,70,28,6,0
N20002762,NI data zone,144,105,33,6,0
N20002763,NI data zone,91,53,16,4,0
N20002764,NI data zone,108,71,21,3,0
N20002765,NI data zone,118,62,15,5,0
N20002766,NI data zone,56,34,13,0,0
N20002767,NI data zone,74,70,29,12,3
N20002768,NI data zone,150,101,28,3,1
N20002769,NI data zone,139,41,10,0,0
N20002770,NI data zone,116,62,29,4,0
N20002771,NI data zone,62,42,14,1,0
N20002772,NI data zone,31,52,37,17,2
N20002773,NI data zone,53,71,40,8,2
N20002774,NI data zone,149,97,35,2,0
N20002775,NI data zone,151,99,41,5,0
N20002776,NI data zone,36,52,18,4,0
N20002777,NI data zone,82,59,24,2,0
N20002778,NI data zone,129,101,61,12,0
N20002779,NI data zone,59,61,51,28,2
N20002780,NI data zone,60,76,73,25,3
N20002781,NI data zone,58,79,76,32,6
N20002782,NI data zone,64,60,30,8,0
N20002783,NI data zone,69,82,29,4,0
N20002784,NI data zone,50,49,31,11,2
N20002785,NI data zone,66,64,23,1,0
N20002786,NI data zone,79,69,42,14,1
N20002787,NI data zone,63,67,42,19,2
N20002788,NI data zone,86,65,49,3,0
N20002789,NI data zone,94,83,52,29,2
N20002790,NI data zone,101,76,53,17,3
N20002791,NI data zone,57,58,40,11,1
N20002792,NI data zone,61,78,84,34,9
N20002793,NI data zone,34,63,58,21,6
N20002794,NI data zone,46,68,59,18,0
N20002795,NI data zone,53,104,97,34,3
N20002796,NI data zone,59,74,52,28,6
N20002797,NI data zone,88,61,57,24,6
N20002798,NI data zone,50,64,66,57,15
N20002799,NI data zone,80,77,46,16,3
N20002800,NI data zone,103,131,59,20,1
N20002801,NI data zone,28,53,54,14,2
N20002802,NI data zone,160,112,51,6,0
N20002803,NI data zone,90,70,31,7,0
N20002804,NI data zone,112,96,42,5,0
N20002805,NI data zone,84,57,34,4,0
N20002806,NI data zone,93,64,21,6,0
N20002807,NI data zone,49,47,26,5,0
N20002808,NI data zone,102,108,58,6,0
N20002809,NI data zone,115,69,43,11,0
N20002810,NI data zone,75,67,44,3,0
N20002811,NI data zone,49,61,48,16,0
N20002812,NI data zone,51,34,20,9,0
N20002813,NI data zone,64,62,46,20,0
N20002814,NI data zone,98,109,60,7,0
N20002815,NI data zone,32,54,27,15,1
N20002816,NI data zone,52,59,40,8,0
N20002817,NI data zone,49,61,53,23,1
N20002818,NI data zone,52,60,64,45,3
N20002819,NI data zone,52,75,72,51,12
N20002820,NI data zone,74,48,35,8,2
N20002821,NI data zone,65,105,70,29,5
N20002822,NI data zone,112,65,34,5,0
N20002823,NI data zone,128,105,36,4,0
N20002824,NI data zone,63,47,10,0,0
N20002825,NI data zone,175,81,19,2,0
N20002826,NI data zone,132,70,20,3,0
N20002827,NI data zone,125,44,12,0,0
N20002828,NI data zone,93,43,21,5,0
N20002829,NI data zone,76,93,73,26,1
N20002830,NI data zone,121,73,44,11,5
N20002831,NI data zone,39,61,50,35,5
N20002832,NI data zone,113,57,16,1,0
N20002833,NI data zone,51,77,51,19,3
N20002834,NI data zone,52,52,42,10,1
N20002835,NI data zone,123,74,39,16,3
N20002836,NI data zone,156,62,27,15,2
N20002838,NI data zone,184,101,50,23,1
