dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000149,NI data zone,137,103,25,7,0
N20000150,NI data zone,35,51,39,31,0
N20000151,NI data zone,99,91,51,6,0
N20000152,NI data zone,106,50,9,2,0
N20000153,NI data zone,76,95,85,40,6
N20000154,NI data zone,108,97,76,27,2
N20000155,NI data zone,38,60,56,20,0
N20000156,NI data zone,117,100,31,9,1
N20000157,NI data zone,118,88,57,13,0
N20000158,NI data zone,133,94,13,1,1
N20000159,NI data zone,45,41,42,17,3
N20000160,NI data zone,73,23,5,0,0
N20000161,NI data zone,119,58,30,3,0
N20000162,NI data zone,154,77,31,3,0
N20000163,NI data zone,109,50,27,2,0
N20000164,NI data zone,124,56,15,0,0
N20000165,NI data zone,96,64,24,9,0
N20000166,NI data zone,94,50,14,1,0
N20000167,NI data zone,82,58,14,3,0
N20000168,NI data zone,67,62,55,9,0
N20000169,NI data zone,54,61,55,56,12
N20000170,NI data zone,78,68,46,9,0
N20000171,NI data zone,95,64,46,9,2
N20000172,NI data zone,121,72,21,4,0
N20000173,NI data zone,123,70,21,3,0
N20000174,NI data zone,60,91,77,40,3
N20000175,NI data zone,86,67,30,12,2
N20000176,NI data zone,68,57,35,8,0
N20000177,NI data zone,62,58,38,13,1
N20000178,NI data zone,51,58,53,20,3
N20000179,NI data zone,131,82,58,16,1
N20000180,NI data zone,51,60,65,19,1
N20000181,NI data zone,60,52,37,30,2
N20000182,NI data zone,78,88,64,38,2
N20000183,NI data zone,48,61,46,19,2
N20000184,NI data zone,46,64,52,18,2
N20000185,NI data zone,52,33,35,21,1
N20000186,NI data zone,40,33,30,20,0
N20000187,NI data zone,32,52,50,34,5
N20000188,NI data zone,115,42,28,5,1
N20000189,NI data zone,45,79,71,45,7
N20000190,NI data zone,58,54,36,17,1
N20000191,NI data zone,40,76,51,10,1
N20000192,NI data zone,29,43,39,28,4
N20000193,NI data zone,29,51,55,38,3
N20000194,NI data zone,50,45,57,37,2
N20000195,NI data zone,43,76,67,63,9
N20000196,NI data zone,37,25,36,20,1
N20000197,NI data zone,27,32,43,21,2
N20000198,NI data zone,58,68,61,34,7
N20000199,NI data zone,66,74,53,40,11
N20000200,NI data zone,101,67,60,25,2
N20000201,NI data zone,105,103,58,21,2
N20000202,NI data zone,48,64,63,25,6
N20000203,NI data zone,62,57,13,3,0
N20000204,NI data zone,89,65,32,6,0
N20000205,NI data zone,68,65,54,25,5
N20000206,NI data zone,72,52,31,6,0
N20000207,NI data zone,34,62,82,39,5
N20000208,NI data zone,60,58,45,21,2
N20000209,NI data zone,70,53,42,13,1
N20000210,NI data zone,46,73,81,42,11
N20000211,NI data zone,184,63,21,2,0
N20000212,NI data zone,48,60,53,43,15
