dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000068,NI data zone,147,116,53,6,25,12,47,17
N20000069,NI data zone,151,108,72,6,39,5,79,4
N20000070,NI data zone,126,98,64,27,22,3,83,3
N20000071,NI data zone,93,61,58,4,12,11,93,5
N20000072,NI data zone,136,155,74,5,52,14,108,14
N20000073,NI data zone,74,159,80,5,46,3,101,5
N20000074,NI data zone,39,157,76,3,45,3,134,11
N20000075,NI data zone,126,73,61,8,44,10,109,1
N20000076,NI data zone,140,50,31,7,24,9,110,3
N20000077,NI data zone,68,77,52,2,21,6,69,10
N20000078,NI data zone,46,93,53,3,15,2,106,5
N20000079,NI data zone,22,132,72,4,31,4,116,5
N20000080,NI data zone,139,203,64,8,38,13,162,8
N20000081,NI data zone,77,69,71,4,30,4,77,2
N20000082,NI data zone,37,155,67,10,53,4,123,3
N20000083,NI data zone,77,73,38,0,15,5,52,7
N20000084,NI data zone,105,78,37,3,14,0,44,6
N20000085,NI data zone,157,137,91,18,31,13,138,8
N20000086,NI data zone,13,253,89,41,78,6,129,2
N20000087,NI data zone,15,246,37,26,75,3,68,3
N20000088,NI data zone,4,189,44,31,98,3,113,4
N20000089,NI data zone,30,235,66,38,147,3,155,4
N20000090,NI data zone,41,291,116,41,93,4,212,5
N20000091,NI data zone,8,198,63,22,88,0,127,3
N20000092,NI data zone,40,266,119,46,105,10,198,18
N20000093,NI data zone,8,144,83,36,27,0,106,3
N20000094,NI data zone,16,123,47,10,91,0,138,2
N20000095,NI data zone,23,144,47,22,26,1,128,5
N20000096,NI data zone,19,218,85,38,54,8,150,12
N20000097,NI data zone,21,202,89,43,72,4,137,6
N20000098,NI data zone,8,141,52,26,43,1,112,0
N20000099,NI data zone,13,218,54,16,35,1,122,5
N20000100,NI data zone,29,311,75,66,94,2,123,5
N20000101,NI data zone,11,165,54,50,86,1,96,3
N20000102,NI data zone,35,144,52,21,53,3,162,5
N20000103,NI data zone,18,123,49,17,26,4,103,13
N20000104,NI data zone,19,169,86,23,48,3,178,6
N20000105,NI data zone,28,118,49,23,40,3,138,6
N20000106,NI data zone,26,131,61,39,45,0,112,1
