dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20001338,NI data zone,19,35,9,12,6,42,14,4,12
N20001339,NI data zone,35,39,31,28,48,21,20,32,18
N20001341,NI data zone,3,30,5,22,10,28,16,3,5
N20001343,NI data zone,26,41,11,19,12,28,16,19,14
N20001344,NI data zone,11,47,11,8,11,24,22,6,11
N20001346,NI data zone,30,49,16,20,14,28,28,8,24
N20001348,NI data zone,22,43,5,20,10,37,24,11,10
N20001349,NI data zone,15,42,16,22,18,17,17,13,13
N20001351,NI data zone,10,28,23,31,16,65,24,5,14
N20001353,NI data zone,10,25,10,15,9,15,17,12,8
N20001356,NI data zone,32,44,10,31,23,53,28,20,20
N20001358,NI data zone,21,57,10,22,21,34,33,13,22
N20001359,NI data zone,25,46,15,23,20,44,24,18,13
N20001360,NI data zone,5,38,12,33,22,24,10,3,8
N20001362,NI data zone,24,26,14,34,25,15,22,22,12
N20001363,NI data zone,31,78,18,18,21,39,44,19,16
N20001365,NI data zone,13,111,13,21,2,50,22,4,10
N20001369,NI data zone,22,45,13,15,8,62,24,8,7
N20001370,NI data zone,14,72,14,17,10,55,24,18,12
N20001371,NI data zone,28,19,31,37,20,8,10,24,9
N20001372,NI data zone,18,48,12,11,9,35,16,6,5
N20001373,NI data zone,32,28,34,23,28,40,19,20,12
N20001374,NI data zone,35,23,17,35,22,16,14,19,9
N20001375,NI data zone,32,62,31,23,20,52,19,27,6
N20001376,NI data zone,28,29,6,6,2,24,3,5,6
N20001377,NI data zone,44,83,8,1,1,34,6,8,4
N20001378,NI data zone,17,51,25,26,8,45,13,14,14
N20001379,NI data zone,24,91,27,13,17,30,20,18,15
N20001380,NI data zone,31,36,53,57,32,14,12,25,7
N20001381,NI data zone,44,88,33,31,13,82,23,24,19
N20001382,NI data zone,47,37,16,13,20,17,10,18,22
N20001383,NI data zone,17,52,18,24,16,67,24,10,10
N20001384,NI data zone,38,85,23,9,17,63,26,15,19
N20001385,NI data zone,41,76,21,10,6,24,13,11,7
N20001386,NI data zone,17,9,34,30,20,5,8,17,11
N20001387,NI data zone,29,50,22,9,13,47,22,6,3
N20001388,NI data zone,2,16,24,54,23,13,9,6,12
N20001390,NI data zone,19,36,29,29,23,57,12,10,18
N20001391,NI data zone,25,18,27,40,20,10,9,24,7
N20001392,NI data zone,22,16,33,36,23,11,8,12,5
N20001393,NI data zone,40,38,6,4,3,12,10,8,5
N20001394,NI data zone,13,79,19,9,9,25,7,10,10
N20001395,NI data zone,30,45,12,7,8,29,15,9,4
N20001397,NI data zone,38,82,18,12,4,26,14,13,10
N20001399,NI data zone,61,82,9,13,16,61,27,15,12
N20001400,NI data zone,13,60,10,6,5,23,10,10,3
N20001401,NI data zone,51,117,52,25,16,38,17,26,16
N20001402,NI data zone,6,73,44,51,11,30,6,13,11
N20001403,NI data zone,22,42,10,12,9,25,15,6,1
N20001404,NI data zone,30,69,36,18,13,21,10,12,9
N20001405,NI data zone,32,60,12,18,11,49,23,15,15
N20001407,NI data zone,19,49,13,7,1,50,9,8,9
N20001408,NI data zone,9,55,10,10,9,50,9,4,4
N20001411,NI data zone,22,33,15,25,9,38,19,10,12
N20001413,NI data zone,24,53,24,22,17,68,23,9,14
N20001416,NI data zone,30,61,17,14,7,44,23,13,9
N20001417,NI data zone,19,42,10,20,8,36,20,5,6
N20001419,NI data zone,19,30,4,9,15,32,29,13,19
N20001420,NI data zone,14,29,11,10,7,39,15,4,9
N20001422,NI data zone,15,47,15,28,4,23,12,6,7
N20001424,NI data zone,26,76,25,30,15,64,19,13,7
N20001427,NI data zone,49,68,16,29,11,56,24,7,17
N20001428,NI data zone,29,97,18,12,12,52,20,14,25
N20001436,NI data zone,16,24,12,14,14,21,26,10,13
N20001514,NI data zone,62,57,60,41,32,11,12,66,7
N20001516,NI data zone,24,39,47,57,27,22,14,23,3
N20001518,NI data zone,21,28,70,69,36,29,13,57,6
N20001519,NI data zone,22,23,13,23,10,22,9,4,9
N20001521,NI data zone,27,18,33,45,27,13,15,35,4
N20001524,NI data zone,11,53,33,51,6,30,9,13,10
N20001526,NI data zone,22,29,30,39,27,4,9,20,7
N20001528,NI data zone,22,24,43,66,27,11,10,33,11
N20001530,NI data zone,36,20,47,75,27,7,18,35,14
N20001539,NI data zone,24,18,43,69,43,4,15,32,8
N20001540,NI data zone,19,37,28,59,9,28,10,7,6
N20001541,NI data zone,23,37,25,37,15,17,6,12,8
N20001543,NI data zone,60,47,45,50,23,30,26,21,7
N20001547,NI data zone,31,75,34,42,30,60,28,20,14
N20001548,NI data zone,22,39,31,28,12,17,7,16,21
N20001549,NI data zone,27,43,29,29,16,20,16,14,9
N20001550,NI data zone,19,56,17,28,11,40,12,12,8
N20001551,NI data zone,16,31,19,21,15,22,4,14,3
N20001552,NI data zone,12,30,34,35,19,20,8,8,10
N20001553,NI data zone,15,78,23,38,16,77,25,16,14
N20001554,NI data zone,40,55,21,18,20,33,21,24,3
N20001555,NI data zone,31,50,38,25,22,16,14,35,8
N20001556,NI data zone,5,28,31,39,5,11,2,2,5
N20001557,NI data zone,17,22,31,74,21,22,9,13,11
N20001558,NI data zone,43,10,35,47,25,11,5,42,3
N20001559,NI data zone,17,28,16,25,8,41,22,8,9
N20001560,NI data zone,25,13,43,39,17,10,7,52,4
N20001561,NI data zone,35,50,23,27,13,21,20,18,12
N20001562,NI data zone,39,45,23,24,7,8,5,18,9
N20001563,NI data zone,28,39,14,31,15,48,23,16,5
N20001564,NI data zone,18,45,17,22,13,36,15,13,6
N20001565,NI data zone,30,66,28,27,10,19,13,23,7
N20001566,NI data zone,33,41,19,14,10,16,15,8,6
N20001567,NI data zone,112,107,27,15,5,13,8,17,9
N20001568,NI data zone,40,68,29,24,17,21,10,22,5
N20001569,NI data zone,9,18,30,43,17,8,2,13,2
N20001570,NI data zone,43,105,27,29,10,16,10,22,9
N20001571,NI data zone,75,48,6,3,4,3,4,2,2
N20001572,NI data zone,15,61,24,33,13,20,12,17,5
N20001573,NI data zone,23,39,36,33,21,21,20,25,6
N20001574,NI data zone,30,73,14,35,11,48,30,13,19
N20001575,NI data zone,36,45,21,35,14,16,9,6,10
N20001576,NI data zone,38,47,35,17,3,18,9,14,15
N20001577,NI data zone,23,10,20,16,16,3,6,26,3
N20001578,NI data zone,14,74,7,11,6,27,14,6,6
N20001579,NI data zone,19,50,14,15,3,19,6,6,4
N20001580,NI data zone,11,35,34,48,24,27,7,10,7
N20001581,NI data zone,42,42,18,22,22,20,25,17,6
N20001582,NI data zone,23,28,19,41,10,9,6,29,3
N20001583,NI data zone,17,29,62,34,18,6,5,24,3
N20001584,NI data zone,32,19,26,24,16,3,11,40,0
N20001585,NI data zone,19,27,37,60,18,13,6,11,4
N20001586,NI data zone,24,36,33,30,22,16,7,14,8
N20001587,NI data zone,11,47,42,81,13,50,15,6,3
N20001588,NI data zone,24,33,22,28,15,14,8,13,8
N20001589,NI data zone,36,46,42,36,30,26,21,46,5
N20001590,NI data zone,38,26,38,30,12,6,15,42,9
N20001591,NI data zone,43,37,40,46,29,15,15,27,8
N20001592,NI data zone,2,37,29,49,11,14,5,10,6
N20001593,NI data zone,10,12,30,47,41,9,11,23,7
N20001594,NI data zone,35,32,43,33,27,1,8,59,7
N20001595,NI data zone,10,20,15,21,15,24,9,13,5
N20001596,NI data zone,24,16,35,62,35,6,2,38,9
N20001597,NI data zone,45,38,55,45,30,11,17,41,18
N20001598,NI data zone,38,33,24,10,13,9,7,32,6
N20001599,NI data zone,35,86,33,9,5,6,8,19,12
N20001600,NI data zone,20,46,9,15,5,29,12,4,4
N20001601,NI data zone,53,39,24,16,12,15,9,19,5
N20001602,NI data zone,46,34,26,13,12,5,5,39,4
N20001603,NI data zone,76,64,22,9,11,7,16,25,6
N20001604,NI data zone,36,117,38,29,4,8,4,29,9
N20001605,NI data zone,23,26,27,22,8,20,17,10,2
N20001606,NI data zone,22,17,18,12,12,4,4,23,4
N20001607,NI data zone,51,42,25,19,15,15,12,30,9
N20001608,NI data zone,25,46,23,16,8,19,16,9,4
N20001609,NI data zone,11,26,25,38,10,8,4,5,1
N20001610,NI data zone,44,36,37,42,19,12,10,32,7
N20001611,NI data zone,59,31,42,31,27,12,4,42,4
N20001612,NI data zone,12,76,15,21,6,41,22,10,10
N20001613,NI data zone,27,19,46,47,28,7,10,43,6
N20001614,NI data zone,40,45,26,20,18,28,21,21,6
N20001615,NI data zone,19,43,44,72,18,29,11,8,8
N20001616,NI data zone,41,37,41,32,24,16,16,43,5
N20001617,NI data zone,29,16,42,46,18,1,10,27,6
N20001618,NI data zone,17,38,41,56,14,8,6,20,4
N20001619,NI data zone,23,16,29,32,14,7,8,20,4
N20001620,NI data zone,29,26,27,22,11,18,10,16,4
N20001621,NI data zone,50,92,34,16,6,9,7,29,25
N20001622,NI data zone,37,60,23,21,15,18,22,15,5
N20001623,NI data zone,26,40,44,41,14,13,5,26,5
N20001624,NI data zone,31,21,31,26,21,5,4,39,9
N20001625,NI data zone,16,18,13,20,14,4,5,14,3
N20001626,NI data zone,70,73,31,16,16,17,15,14,13
N20001627,NI data zone,31,30,45,50,30,9,13,46,9
N20001628,NI data zone,22,11,18,22,9,3,6,22,4
N20001629,NI data zone,79,39,11,7,7,6,8,21,7
N20001630,NI data zone,7,24,18,24,4,13,11,12,46
N20001631,NI data zone,30,29,29,36,13,11,11,29,11
N20001632,NI data zone,57,41,39,29,28,11,11,52,4
N20001633,NI data zone,0,31,8,19,1,18,7,1,90
N20001634,NI data zone,29,27,42,41,35,9,10,35,18
N20001635,NI data zone,25,53,52,43,15,19,8,30,18
N20001636,NI data zone,19,26,30,36,26,18,14,20,4
N20001637,NI data zone,32,15,33,45,21,6,7,43,3
N20001638,NI data zone,9,49,40,54,19,23,11,18,20
N20001639,NI data zone,28,43,36,47,25,15,6,16,8
N20001640,NI data zone,18,12,18,28,25,4,2,16,11
N20001641,NI data zone,9,17,15,22,12,1,2,15,8
N20001642,NI data zone,30,39,27,30,13,38,32,12,2
N20001643,NI data zone,15,20,24,26,23,4,9,17,5
N20001644,NI data zone,29,37,51,70,26,23,15,26,6
N20001645,NI data zone,25,23,31,49,23,5,12,20,6
N20001646,NI data zone,9,14,15,31,7,10,6,12,5
N20001647,NI data zone,25,28,37,45,31,8,8,30,5
N20001648,NI data zone,17,14,28,25,11,6,5,15,5
N20001649,NI data zone,14,20,23,29,14,16,4,18,5
N20001650,NI data zone,17,13,24,32,17,7,9,18,1
N20001651,NI data zone,20,14,12,10,1,5,3,5,3
N20001652,NI data zone,29,36,28,33,27,12,11,25,8
N20001653,NI data zone,41,24,38,54,27,7,18,50,6
N20001654,NI data zone,13,28,12,18,5,20,9,7,2
N20001655,NI data zone,27,29,37,40,20,8,14,32,16
N20001656,NI data zone,28,35,29,79,27,33,14,26,9
N20001657,NI data zone,26,43,12,18,10,4,5,16,5
N20001658,NI data zone,22,21,41,43,31,4,17,30,10
N20001659,NI data zone,41,57,20,18,7,11,8,30,4
N20001660,NI data zone,35,46,44,89,24,43,21,23,13
N20001661,NI data zone,37,47,19,20,11,13,5,14,5
N20001662,NI data zone,49,66,11,23,9,30,22,15,6
N20001663,NI data zone,33,90,27,20,24,35,37,16,10
N20001664,NI data zone,21,22,19,34,16,5,7,18,6
N20001665,NI data zone,40,30,28,49,27,11,12,23,4
N20001666,NI data zone,23,32,33,48,20,9,13,17,7
N20001667,NI data zone,26,32,17,31,18,12,14,25,5
N20001668,NI data zone,24,36,22,63,33,7,13,27,6
N20001669,NI data zone,14,32,37,43,12,17,15,17,8
N20001670,NI data zone,10,7,20,39,15,10,4,18,7
N20001671,NI data zone,23,38,20,22,16,24,15,11,7
N20001672,NI data zone,33,25,31,58,26,20,13,18,8
N20001673,NI data zone,35,26,31,42,20,10,17,25,11
N20001674,NI data zone,19,20,45,62,24,4,11,28,15
N20001675,NI data zone,25,25,17,53,30,5,14,34,11
N20001676,NI data zone,20,35,31,59,17,10,9,16,5
N20001677,NI data zone,39,32,14,14,15,7,10,13,7
N20001678,NI data zone,16,15,22,59,28,10,8,18,8
N20001679,NI data zone,13,19,14,36,20,8,9,18,3
N20001680,NI data zone,34,29,26,40,24,9,16,29,10
N20001681,NI data zone,17,27,18,60,20,19,7,13,1
N20001682,NI data zone,26,35,22,24,11,23,12,12,3
N20001683,NI data zone,24,27,24,62,56,10,14,34,16
N20001684,NI data zone,28,31,34,75,27,8,10,30,12
N20001685,NI data zone,32,24,42,51,33,10,18,35,7
N20001686,NI data zone,31,22,44,54,39,9,6,46,5
N20001687,NI data zone,23,40,32,56,14,27,12,13,10
N20001688,NI data zone,14,24,34,40,19,17,6,13,0
N20001689,NI data zone,36,39,35,48,26,13,11,33,10
N20001690,NI data zone,24,24,27,20,12,16,14,18,2
N20001691,NI data zone,29,21,22,25,15,16,9,35,5
N20001692,NI data zone,28,34,47,53,32,14,13,14,11
N20001693,NI data zone,36,70,27,37,18,58,15,12,2
N20001694,NI data zone,23,49,16,17,9,14,7,3,6
N20001695,NI data zone,28,53,21,18,22,19,17,16,5
N20001696,NI data zone,24,42,53,40,15,12,16,30,4
N20001697,NI data zone,19,22,30,46,18,14,7,22,7
N20001698,NI data zone,24,107,27,23,7,18,14,15,7
N20001699,NI data zone,25,32,27,41,17,14,9,29,5
N20001700,NI data zone,84,86,13,13,6,9,12,19,6
N20001701,NI data zone,21,72,11,22,9,29,16,10,7
N20001702,NI data zone,36,33,34,79,27,39,14,28,7
N20001703,NI data zone,21,30,5,9,7,11,8,9,4
N20001704,NI data zone,38,31,16,18,15,10,13,10,1
N20001705,NI data zone,27,21,29,37,28,9,10,22,7
N20001706,NI data zone,59,32,31,24,21,8,8,20,15
N20001707,NI data zone,30,37,30,29,11,14,17,12,5
N20001708,NI data zone,8,43,35,67,13,17,7,14,1
N20001709,NI data zone,9,38,50,60,3,24,11,7,3
N20001710,NI data zone,17,39,49,90,23,24,10,14,6
N20001711,NI data zone,26,18,22,32,14,7,6,19,0
N20001712,NI data zone,23,25,26,36,27,4,9,20,8
N20001713,NI data zone,8,22,36,60,15,28,10,11,9
N20001714,NI data zone,15,14,25,45,19,5,3,17,6
N20001715,NI data zone,26,26,39,78,46,10,20,31,13
N20001716,NI data zone,29,36,40,91,42,13,18,35,12
N20001717,NI data zone,13,10,14,29,9,6,6,16,4
N20001718,NI data zone,22,26,14,18,16,11,16,9,2
N20001719,NI data zone,13,19,22,65,26,19,5,9,5
N20001720,NI data zone,23,28,31,78,40,11,15,22,10
N20001721,NI data zone,23,51,44,45,22,23,18,13,4
N20001722,NI data zone,23,20,28,78,48,10,11,22,12
N20001723,NI data zone,40,52,41,52,24,30,19,20,8
N20001724,NI data zone,20,21,19,61,21,14,9,10,8
N20001725,NI data zone,20,16,25,64,22,3,8,29,10
N20001726,NI data zone,27,15,32,60,23,6,12,22,13
N20001727,NI data zone,11,19,24,56,32,8,9,20,10
N20001728,NI data zone,18,39,19,17,17,15,13,9,4
N20001729,NI data zone,27,45,37,65,24,31,16,17,17
N20001730,NI data zone,14,9,14,31,10,1,0,15,4
N20001731,NI data zone,26,18,31,60,28,8,12,31,15
N20002287,NI data zone,16,14,21,59,24,8,6,9,12
N20002288,NI data zone,15,32,32,107,36,34,12,14,9
N20002289,NI data zone,22,33,40,69,53,10,18,27,29
N20002290,NI data zone,9,20,29,57,14,12,7,15,4
N20002291,NI data zone,12,37,19,28,9,29,10,9,7
N20002292,NI data zone,4,28,25,100,11,27,12,3,5
N20002293,NI data zone,20,11,24,58,14,4,4,17,12
N20002294,NI data zone,26,12,32,45,30,4,8,24,6
N20002295,NI data zone,31,18,31,59,34,8,12,20,11
N20002296,NI data zone,13,48,39,88,23,26,10,10,5
N20002297,NI data zone,24,22,41,33,37,8,9,32,14
N20002298,NI data zone,14,16,33,42,24,0,5,25,10
N20002299,NI data zone,20,10,37,54,28,2,3,20,3
N20002300,NI data zone,13,23,36,79,17,13,7,8,4
N20002301,NI data zone,14,12,22,27,20,1,5,24,3
N20002302,NI data zone,21,13,25,38,26,5,6,28,10
N20002303,NI data zone,16,36,40,67,17,6,8,11,5
N20002304,NI data zone,20,18,32,36,15,8,4,17,4
N20002306,NI data zone,4,51,44,90,6,13,5,4,5
N20002308,NI data zone,4,52,38,70,3,16,6,5,7
N20002309,NI data zone,7,52,54,81,7,13,2,14,3
N20002310,NI data zone,7,6,44,93,52,9,3,26,3
N20002311,NI data zone,17,8,23,34,24,3,9,25,9
N20002312,NI data zone,15,44,48,73,8,23,8,12,4
N20002313,NI data zone,17,19,45,61,21,11,9,9,7
N20002314,NI data zone,0,21,20,40,9,14,8,1,3
N20002315,NI data zone,21,42,35,45,14,15,7,10,3
N20002316,NI data zone,16,38,19,37,8,10,5,6,2
N20002317,NI data zone,16,25,39,50,35,6,4,22,9
N20002318,NI data zone,12,10,24,24,18,3,4,22,6
N20002319,NI data zone,25,42,44,78,24,22,11,19,8
N20002320,NI data zone,9,27,61,108,27,16,0,8,4
N20002321,NI data zone,3,22,46,84,8,12,2,12,4
N20002322,NI data zone,18,20,47,66,35,11,5,36,6
N20002323,NI data zone,7,22,39,82,22,14,4,8,8
N20002324,NI data zone,19,25,36,51,30,7,11,47,19
N20002325,NI data zone,34,33,46,46,30,8,14,16,8
N20002327,NI data zone,22,9,31,22,18,5,5,39,5
N20002328,NI data zone,21,38,25,39,30,8,9,28,5
N20002329,NI data zone,33,73,29,47,20,40,20,11,6
N20002332,NI data zone,38,60,30,42,14,29,25,26,11
N20002334,NI data zone,12,50,29,40,13,87,28,3,7
N20002335,NI data zone,8,22,13,20,7,65,17,11,8
N20002336,NI data zone,9,22,57,75,35,13,4,7,4
N20002341,NI data zone,32,27,30,49,25,14,11,15,8
N20002342,NI data zone,2,47,72,64,3,15,1,5,4
N20002344,NI data zone,6,31,59,82,21,14,3,4,6
N20002349,NI data zone,1,28,51,110,4,16,4,4,4
N20002351,NI data zone,4,70,53,80,7,31,5,4,11
N20002364,NI data zone,12,32,21,31,14,31,14,8,6
N20002548,NI data zone,25,27,27,72,34,9,15,24,3
N20002549,NI data zone,22,19,27,62,29,0,7,18,7
N20002550,NI data zone,18,8,24,76,29,2,8,27,6
N20002551,NI data zone,17,27,28,32,23,7,6,23,7
N20002552,NI data zone,21,18,15,50,19,9,7,20,7
N20002553,NI data zone,17,21,22,39,17,5,13,17,6
N20002554,NI data zone,30,52,15,21,7,20,15,11,4
N20002555,NI data zone,25,26,34,43,24,13,7,35,7
N20002556,NI data zone,23,46,21,34,18,27,27,12,10
N20002557,NI data zone,19,26,37,53,31,13,10,35,3
N20002558,NI data zone,59,53,21,15,10,18,9,11,2
N20002559,NI data zone,26,35,29,23,13,7,8,22,10
N20002560,NI data zone,28,24,13,31,16,23,5,14,4
N20002561,NI data zone,30,66,30,43,8,14,5,6,5
N20002562,NI data zone,29,41,34,43,21,18,12,19,10
N20002563,NI data zone,34,29,39,79,38,4,8,29,9
N20002564,NI data zone,36,31,38,45,31,5,16,54,11
N20002565,NI data zone,6,11,31,24,18,4,7,9,2
N20002566,NI data zone,17,24,30,43,8,6,7,17,7
N20002567,NI data zone,19,51,27,42,24,32,16,17,7
N20002568,NI data zone,16,44,31,27,8,13,7,9,2
N20002569,NI data zone,13,5,35,37,23,5,6,10,3
N20002570,NI data zone,33,11,27,43,18,5,6,28,1
N20002571,NI data zone,27,21,28,52,17,7,7,31,6
N20002572,NI data zone,19,25,41,40,42,5,11,26,10
N20002573,NI data zone,19,22,43,42,18,7,9,34,7
N20002574,NI data zone,21,30,57,68,29,12,8,26,7
N20002575,NI data zone,39,26,8,5,3,10,6,11,2
N20002576,NI data zone,23,48,37,49,16,30,13,20,2
N20002577,NI data zone,21,14,28,52,28,2,13,27,8
N20002578,NI data zone,13,51,32,65,22,18,3,9,1
N20002579,NI data zone,23,36,45,59,11,22,10,15,1
N20002580,NI data zone,16,9,27,51,33,5,3,25,11
N20002581,NI data zone,22,17,40,57,32,1,5,31,17
N20002582,NI data zone,20,16,30,63,41,5,11,26,10
N20002584,NI data zone,20,17,37,72,34,13,11,24,9
N20002586,NI data zone,25,36,25,69,15,26,15,15,7
N20002587,NI data zone,13,26,11,25,11,25,12,11,7
N20002588,NI data zone,20,63,14,32,5,50,19,12,23
N20002589,NI data zone,18,27,12,28,12,48,17,20,13
N20002590,NI data zone,24,13,20,52,22,14,5,18,5
N20002591,NI data zone,21,12,27,24,13,8,6,37,6
N20002592,NI data zone,16,20,24,34,19,11,14,24,8
N20002593,NI data zone,21,42,38,54,28,18,15,16,19
N20002594,NI data zone,43,65,14,28,3,31,13,14,21
N20002595,NI data zone,42,24,39,41,21,17,10,51,7
N20002596,NI data zone,24,23,7,24,14,8,11,11,13
N20002597,NI data zone,23,31,31,21,14,10,12,29,10
N20002598,NI data zone,20,17,28,37,12,6,7,21,7
N20002599,NI data zone,16,20,24,37,15,6,8,36,7
N20002600,NI data zone,45,30,41,40,30,5,10,51,4
N20002601,NI data zone,29,36,10,29,20,16,22,17,12
N20002602,NI data zone,24,20,18,47,15,17,7,16,10
N20002603,NI data zone,35,11,50,45,17,9,9,42,14
N20002604,NI data zone,59,78,44,39,15,19,19,27,18
N20002605,NI data zone,33,29,18,47,14,12,12,23,22
N20002606,NI data zone,41,53,32,40,21,27,10,25,12
N20002607,NI data zone,16,12,21,23,11,0,8,38,3
N20002608,NI data zone,34,63,10,5,3,13,7,5,1
N20002609,NI data zone,20,24,35,25,21,6,9,29,9
N20002610,NI data zone,22,22,30,24,8,10,13,20,11
N20002611,NI data zone,23,83,30,37,8,12,23,15,24
N20002612,NI data zone,39,31,23,32,11,16,19,19,16
N20002613,NI data zone,31,68,36,58,14,23,15,14,27
N20002614,NI data zone,90,77,16,18,6,9,15,15,5
N20002615,NI data zone,31,60,17,24,11,24,16,16,31
N20002616,NI data zone,16,40,10,21,8,21,17,8,6
N20002617,NI data zone,9,69,34,30,14,21,14,15,52
N20002618,NI data zone,17,7,13,35,19,5,6,37,1
N20002619,NI data zone,21,64,20,20,19,56,33,11,11
N20002620,NI data zone,36,128,28,16,7,16,13,10,26
N20002621,NI data zone,27,13,31,41,15,11,2,35,0
N20002622,NI data zone,14,45,18,20,8,51,18,8,5
N20002623,NI data zone,18,7,25,26,13,3,7,48,2
N20002624,NI data zone,25,20,26,35,15,8,5,39,7
N20002625,NI data zone,24,44,19,13,5,22,11,9,10
N20002626,NI data zone,24,31,17,26,10,18,11,17,6
N20002627,NI data zone,27,47,12,9,4,15,8,10,3
N20002628,NI data zone,14,68,34,52,4,23,11,9,21
N20002629,NI data zone,35,82,25,34,15,30,29,21,12
N20002630,NI data zone,21,20,31,34,5,8,6,7,4
N20002631,NI data zone,36,47,32,17,11,13,14,19,8
N20002632,NI data zone,17,31,50,42,16,13,7,10,7
N20002633,NI data zone,39,13,35,44,19,5,6,36,7
N20002634,NI data zone,26,46,38,35,7,24,12,16,13
N20002635,NI data zone,10,14,23,50,9,10,5,22,4
N20002636,NI data zone,14,26,13,26,6,19,4,10,2
N20002637,NI data zone,8,21,45,64,18,18,7,18,6
N20002638,NI data zone,8,27,25,40,8,27,9,6,4
N20002639,NI data zone,24,20,38,74,32,5,16,25,5
N20002640,NI data zone,19,57,33,66,21,33,18,18,7
N20002641,NI data zone,10,18,17,64,18,5,9,17,3
N20002642,NI data zone,24,14,22,50,28,9,11,24,14
N20002643,NI data zone,20,17,23,60,22,11,10,15,6
N20002644,NI data zone,13,31,27,39,7,5,8,12,5
N20002645,NI data zone,22,29,28,76,28,4,13,33,9
N20002646,NI data zone,15,23,35,85,40,6,5,23,9
N20002647,NI data zone,21,24,39,82,32,7,11,28,8
N20002648,NI data zone,25,16,42,70,45,4,10,17,9
N20002649,NI data zone,13,23,25,35,18,7,5,22,6
N20002650,NI data zone,16,23,24,41,13,7,7,18,7
N20002651,NI data zone,16,14,20,40,25,4,3,24,11
N20002652,NI data zone,37,42,44,47,19,21,16,35,6
N20002653,NI data zone,34,28,43,40,26,6,7,17,6
N20002654,NI data zone,34,21,55,66,31,6,8,42,4
N20002655,NI data zone,36,39,35,61,16,15,8,17,4
N20002656,NI data zone,69,62,25,31,12,10,7,26,11
N20002657,NI data zone,29,27,16,18,8,15,9,14,4
N20002658,NI data zone,35,23,37,63,21,10,8,30,5
N20002659,NI data zone,6,27,24,25,4,21,5,5,2
N20002660,NI data zone,27,13,26,35,13,5,7,42,4
N20002661,NI data zone,25,33,31,29,8,11,2,22,7
N20002662,NI data zone,20,20,42,69,29,5,8,27,8
N20002663,NI data zone,28,24,55,68,26,6,14,37,15
N20002664,NI data zone,15,10,38,63,23,10,10,22,9
N20002665,NI data zone,39,48,11,8,7,18,8,10,4
N20002666,NI data zone,43,58,33,26,9,20,15,16,13
N20002667,NI data zone,19,35,31,23,12,12,8,11,10
N20002668,NI data zone,23,24,52,42,33,3,10,25,10
N20002669,NI data zone,36,57,26,39,6,12,23,23,9
N20002670,NI data zone,50,22,40,30,24,8,12,33,11
N20002671,NI data zone,31,73,31,34,18,69,23,5,10
N20002672,NI data zone,16,32,16,11,6,4,10,14,4
N20002673,NI data zone,8,37,14,18,14,49,14,11,5
N20002674,NI data zone,25,19,21,40,30,5,8,21,3
N20002675,NI data zone,11,20,22,30,15,8,7,14,1
N20002676,NI data zone,22,25,36,59,34,6,14,30,22
N20002677,NI data zone,9,9,29,51,26,4,6,15,9
N20002678,NI data zone,34,18,35,51,23,9,14,32,18
N20002679,NI data zone,19,14,25,41,21,4,12,17,8
N20002680,NI data zone,27,42,20,27,15,29,17,9,2
N20002681,NI data zone,10,42,46,63,22,16,6,18,7
N20002682,NI data zone,29,41,46,74,17,19,17,20,3
N20002683,NI data zone,25,46,28,48,18,10,8,12,2
N20002684,NI data zone,20,11,30,27,22,3,5,20,3
N20002685,NI data zone,18,23,21,32,9,5,5,21,9
N20002686,NI data zone,24,39,12,18,24,18,12,12,3
N20002687,NI data zone,23,66,30,50,25,25,15,17,6
N20002688,NI data zone,25,32,24,28,19,15,19,20,5
N20002689,NI data zone,41,58,30,24,14,14,14,27,8
N20002690,NI data zone,13,20,27,37,18,5,8,16,7
N20002691,NI data zone,35,22,35,46,30,7,13,35,16
N20002692,NI data zone,24,18,27,55,19,5,5,29,2
N20002693,NI data zone,41,16,24,22,12,5,6,42,3
N20002694,NI data zone,11,16,27,38,21,4,7,30,6
N20002695,NI data zone,34,21,52,31,21,5,5,36,5
N20002696,NI data zone,17,22,33,27,20,9,8,31,5
N20002697,NI data zone,17,10,34,28,26,11,6,32,9
N20002698,NI data zone,30,50,14,32,11,25,11,12,7
N20002699,NI data zone,28,30,49,34,29,12,16,29,7
N20002700,NI data zone,10,32,34,44,19,10,3,9,3
N20002701,NI data zone,19,22,27,28,19,11,8,22,3
N20002702,NI data zone,24,43,18,20,5,16,5,9,7
N20002703,NI data zone,23,43,17,10,10,8,6,13,3
N20002704,NI data zone,35,40,21,10,7,18,16,11,5
N20002705,NI data zone,11,67,21,43,8,16,6,8,3
N20002706,NI data zone,10,26,14,29,12,8,13,12,2
N20002707,NI data zone,11,21,31,34,16,15,14,17,5
N20002708,NI data zone,34,66,14,17,12,25,10,13,3
N20002709,NI data zone,30,70,31,44,17,61,28,22,8
N20002710,NI data zone,45,58,30,28,11,49,20,15,2
N20002711,NI data zone,38,47,16,18,12,20,10,22,7
N20002712,NI data zone,36,27,13,10,15,13,15,13,3
N20002713,NI data zone,48,25,44,24,21,8,12,29,6
