dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000091,NI data zone,6,39,46,59,14,15,8,8,4
N20000092,NI data zone,23,39,52,91,35,15,14,15,5
N20000093,NI data zone,29,45,21,10,12,37,22,19,6
N20000094,NI data zone,7,24,30,65,9,8,1,4,3
N20000095,NI data zone,16,52,16,21,9,41,16,5,4
N20000096,NI data zone,16,31,43,65,24,14,12,13,6
N20000097,NI data zone,37,32,41,38,15,13,10,52,11
N20000098,NI data zone,21,19,25,27,16,10,10,28,3
N20000099,NI data zone,19,36,27,41,14,9,8,26,12
N20000100,NI data zone,28,25,45,59,37,8,9,36,9
N20000101,NI data zone,11,18,21,61,22,11,6,10,1
N20000102,NI data zone,14,66,37,52,12,20,4,8,3
N20000103,NI data zone,55,74,14,15,4,11,18,13,6
N20000104,NI data zone,27,57,34,23,7,45,16,11,11
N20000105,NI data zone,22,50,27,30,5,20,9,6,7
N20000106,NI data zone,24,38,30,36,12,14,10,21,3
N20000107,NI data zone,16,81,29,28,4,23,10,14,5
N20000108,NI data zone,69,75,18,6,5,21,11,11,4
N20000109,NI data zone,17,16,39,58,19,11,11,32,5
N20000110,NI data zone,15,31,47,68,18,27,12,27,5
N20000111,NI data zone,16,27,40,42,24,13,11,29,5
N20000112,NI data zone,31,18,17,20,12,17,16,18,0
N20000113,NI data zone,15,58,32,34,9,23,8,11,5
N20000114,NI data zone,19,30,34,38,22,7,9,27,3
N20000115,NI data zone,22,49,86,60,25,22,14,19,11
N20000116,NI data zone,19,42,31,26,5,9,3,13,5
N20000117,NI data zone,22,19,32,28,17,6,4,22,0
N20000118,NI data zone,25,46,20,38,17,10,9,12,6
N20000119,NI data zone,21,25,31,28,9,7,3,22,4
N20000120,NI data zone,23,6,28,32,20,0,7,29,9
N20000121,NI data zone,24,30,49,64,28,6,7,45,12
N20000122,NI data zone,33,20,44,75,30,7,5,40,9
N20000123,NI data zone,13,21,35,63,15,7,10,17,4
N20000124,NI data zone,21,30,34,33,18,7,8,26,8
N20000125,NI data zone,32,29,36,35,18,6,5,28,5
N20000126,NI data zone,4,12,43,83,28,8,8,13,6
N20000127,NI data zone,21,34,14,13,3,12,2,7,2
N20000128,NI data zone,12,10,45,98,30,6,4,17,9
N20000129,NI data zone,39,78,33,51,12,72,31,24,12
N20000130,NI data zone,22,33,46,41,30,20,12,15,6
N20000131,NI data zone,24,53,20,26,8,35,11,9,2
N20000132,NI data zone,7,7,56,70,31,3,6,18,5
N20000133,NI data zone,28,13,58,91,28,8,12,39,3
N20000134,NI data zone,24,14,53,87,29,5,4,28,4
N20000135,NI data zone,28,32,44,32,30,8,13,41,5
N20000136,NI data zone,49,12,34,24,28,2,8,66,5
N20000137,NI data zone,47,37,33,35,17,5,7,27,8
N20000138,NI data zone,33,43,40,26,19,18,20,32,5
N20000139,NI data zone,38,44,29,35,16,6,8,38,2
N20000140,NI data zone,8,26,49,72,2,4,4,10,2
N20000141,NI data zone,8,26,60,28,8,8,6,15,6
N20000142,NI data zone,21,39,12,19,5,33,10,13,6
N20000143,NI data zone,35,16,53,59,18,7,8,47,8
N20000144,NI data zone,19,24,32,36,15,8,6,16,2
N20000145,NI data zone,46,59,13,6,1,13,8,13,2
N20000146,NI data zone,23,48,22,17,7,40,9,11,7
N20000147,NI data zone,29,54,24,36,10,35,13,14,6
N20000148,NI data zone,19,12,27,27,12,5,7,24,2
N20000149,NI data zone,44,33,54,58,14,9,8,47,8
N20000150,NI data zone,22,50,8,17,8,28,15,4,4
N20000151,NI data zone,30,18,39,60,34,13,13,35,3
N20000152,NI data zone,24,30,34,26,17,3,4,21,6
N20000153,NI data zone,66,85,34,22,15,37,12,25,6
N20000154,NI data zone,31,56,22,63,22,54,31,25,7
N20000155,NI data zone,20,64,15,16,9,23,15,7,5
N20000156,NI data zone,20,27,42,70,31,21,14,31,5
