dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20001093,NI data zone,12,115,97,48,34,8,83,5
N20001094,NI data zone,287,1,5,0,5,20,51,9
N20001095,NI data zone,45,71,148,49,41,26,129,32
N20001096,NI data zone,45,102,69,35,32,17,148,6
N20001097,NI data zone,28,72,63,8,31,8,99,5
N20001098,NI data zone,38,59,52,30,57,15,113,8
N20001099,NI data zone,90,16,18,4,20,46,130,4
N20001100,NI data zone,35,77,46,28,54,29,125,5
N20001101,NI data zone,177,97,52,7,21,15,115,19
N20001102,NI data zone,58,34,32,17,18,27,109,3
N20001103,NI data zone,172,14,10,1,26,62,189,30
N20001104,NI data zone,52,84,73,41,43,24,152,12
N20001105,NI data zone,157,22,15,1,20,22,89,6
N20001106,NI data zone,78,50,62,15,77,46,172,7
N20001107,NI data zone,190,19,12,0,13,52,132,6
N20001108,NI data zone,43,22,17,2,29,40,63,1
N20001109,NI data zone,410,15,1,0,22,18,80,7
N20001110,NI data zone,111,27,10,7,20,19,71,22
N20001111,NI data zone,26,84,47,34,28,32,120,11
N20001112,NI data zone,182,17,15,0,24,78,178,18
N20001113,NI data zone,256,17,14,0,18,37,129,7
N20001114,NI data zone,233,21,8,1,17,36,105,6
N20001115,NI data zone,188,57,39,9,55,48,206,19
N20001116,NI data zone,28,55,76,35,34,13,90,7
N20001117,NI data zone,30,46,71,30,40,19,83,2
N20001118,NI data zone,281,7,3,0,30,33,118,12
N20001119,NI data zone,187,25,12,1,37,24,120,6
N20001120,NI data zone,326,38,15,1,16,60,115,22
N20001121,NI data zone,312,31,20,5,17,5,230,8
N20001122,NI data zone,78,6,7,2,11,28,115,3
N20001123,NI data zone,126,27,36,6,36,30,168,14
N20001124,NI data zone,197,42,26,4,45,49,239,15
N20001125,NI data zone,78,15,18,4,25,49,140,4
N20001126,NI data zone,149,39,46,7,38,116,248,10
N20001127,NI data zone,320,10,5,1,27,30,121,18
N20001128,NI data zone,41,28,31,8,27,42,75,2
N20001129,NI data zone,69,40,47,19,42,43,156,7
N20001130,NI data zone,396,6,9,1,17,40,62,8
N20001131,NI data zone,342,11,5,5,65,32,113,25
N20001132,NI data zone,163,28,22,7,24,43,201,18
N20001133,NI data zone,217,56,34,11,73,70,298,23
N20001134,NI data zone,270,17,27,4,35,36,180,11
N20001135,NI data zone,209,31,36,1,43,52,222,22
N20001136,NI data zone,178,50,24,3,29,19,182,3
N20001137,NI data zone,162,31,24,1,23,29,202,3
N20001138,NI data zone,168,15,22,6,20,32,194,11
N20001139,NI data zone,210,43,29,2,42,56,256,7
N20001140,NI data zone,153,34,35,10,55,35,203,32
N20001141,NI data zone,134,14,15,4,11,26,101,13
N20001142,NI data zone,199,57,35,7,34,32,241,13
N20001143,NI data zone,196,35,21,2,34,47,200,10
N20001144,NI data zone,147,26,25,3,33,58,220,12
N20001145,NI data zone,88,7,8,1,8,5,99,3
N20001146,NI data zone,89,13,15,1,17,1,133,4
N20001147,NI data zone,64,43,19,12,48,37,179,10
N20001148,NI data zone,136,66,14,8,53,32,110,7
N20001149,NI data zone,171,45,48,9,57,57,236,18
N20001150,NI data zone,132,30,14,11,23,30,140,12
N20001151,NI data zone,199,30,36,3,47,31,199,0
N20001152,NI data zone,105,27,10,1,21,32,144,4
N20001153,NI data zone,228,68,52,11,53,14,211,2
N20001154,NI data zone,100,25,17,4,5,38,110,8
N20001155,NI data zone,159,26,11,3,25,16,190,6
N20001156,NI data zone,240,73,40,13,36,75,179,18
N20001157,NI data zone,154,22,17,5,29,24,155,6
N20001158,NI data zone,233,20,17,7,10,23,119,5
N20001159,NI data zone,147,15,13,3,29,18,204,10
N20001160,NI data zone,146,23,8,0,12,7,115,9
N20001161,NI data zone,151,28,21,6,24,6,168,7
N20001162,NI data zone,744,157,89,13,88,95,645,316
N20001163,NI data zone,121,18,8,2,20,37,111,11
N20001164,NI data zone,252,30,24,9,16,25,165,6
N20001165,NI data zone,244,14,29,15,22,17,126,9
N20001166,NI data zone,304,18,13,2,18,6,184,5
N20001167,NI data zone,305,56,46,6,20,17,215,3
N20001168,NI data zone,174,26,20,2,38,32,201,7
N20001169,NI data zone,271,42,42,9,19,21,119,4
N20001170,NI data zone,199,39,33,10,20,22,129,11
N20001171,NI data zone,121,35,24,2,13,16,78,4
N20001172,NI data zone,382,131,125,14,89,37,223,17
N20001173,NI data zone,164,40,39,12,24,14,121,4
N20001174,NI data zone,272,43,53,4,23,6,165,5
N20001175,NI data zone,124,37,33,2,10,20,114,4
N20001176,NI data zone,250,52,23,12,26,13,58,3
N20001177,NI data zone,241,45,46,5,33,12,99,3
N20001178,NI data zone,223,63,34,9,15,23,171,1
N20001179,NI data zone,120,14,6,0,15,18,95,0
N20001180,NI data zone,159,19,25,5,6,3,65,3
N20001181,NI data zone,131,26,22,1,9,9,80,2
N20001182,NI data zone,249,39,38,4,14,5,117,3
N20001183,NI data zone,262,48,17,5,14,8,95,4
N20001184,NI data zone,475,30,23,16,24,11,158,6
N20001185,NI data zone,263,55,55,6,16,21,86,5
N20001186,NI data zone,324,31,21,3,18,15,115,10
N20001187,NI data zone,129,20,19,3,9,8,61,6
N20001188,NI data zone,215,27,14,5,16,3,59,9
N20001189,NI data zone,294,35,15,7,17,10,51,6
N20001190,NI data zone,408,4,11,4,3,2,56,11
N20001191,NI data zone,283,34,19,3,20,4,68,0
N20001192,NI data zone,423,13,5,1,4,5,58,11
N20001193,NI data zone,236,20,22,2,5,9,55,4
N20001194,NI data zone,128,54,47,14,11,1,85,3
N20001195,NI data zone,458,30,23,14,20,11,114,8
N20001196,NI data zone,225,47,30,4,9,10,75,4
N20001197,NI data zone,363,2,5,0,9,1,47,9
N20001198,NI data zone,304,59,50,3,12,14,49,6
N20001199,NI data zone,286,75,26,6,18,21,107,4
N20001200,NI data zone,197,42,60,9,11,0,104,35
N20001201,NI data zone,162,55,41,26,31,9,138,10
N20001202,NI data zone,242,27,22,6,11,7,72,7
N20001203,NI data zone,62,83,64,22,79,72,79,8
N20001204,NI data zone,386,9,11,2,12,1,54,4
N20001205,NI data zone,95,52,51,17,26,37,75,13
N20001206,NI data zone,14,49,12,13,12,9,39,5
N20001207,NI data zone,9,108,68,19,35,5,73,8
N20001208,NI data zone,10,219,124,31,24,8,130,15
N20001209,NI data zone,160,45,39,16,52,8,72,5
N20001210,NI data zone,66,88,92,35,64,32,108,8
N20001211,NI data zone,40,99,111,27,34,14,135,4
N20001212,NI data zone,242,0,2,1,5,0,28,4
N20001213,NI data zone,66,44,36,34,34,22,101,7
N20001214,NI data zone,122,102,50,14,26,11,99,3
N20001215,NI data zone,74,143,115,76,64,17,160,4
N20001216,NI data zone,91,36,24,8,37,16,66,9
N20001217,NI data zone,147,103,75,18,52,16,143,8
N20001218,NI data zone,185,38,31,4,23,13,72,4
N20001219,NI data zone,130,79,47,20,28,19,92,9
N20001220,NI data zone,101,91,83,52,35,44,125,3
N20001221,NI data zone,163,49,30,15,12,44,128,4
N20001222,NI data zone,32,85,77,12,41,8,124,3
N20001223,NI data zone,59,126,128,42,76,9,175,10
N20001224,NI data zone,22,91,74,31,38,6,119,12
N20001225,NI data zone,18,59,47,11,23,3,65,12
N20001226,NI data zone,167,88,40,11,9,14,77,16
N20001227,NI data zone,15,72,47,10,31,0,88,8
N20001228,NI data zone,26,78,66,35,58,4,89,5
N20001229,NI data zone,33,111,87,21,53,6,97,9
N20001230,NI data zone,393,46,31,17,25,28,82,4
N20001231,NI data zone,248,90,40,5,33,9,120,8
N20001232,NI data zone,133,124,140,39,55,4,106,7
N20001233,NI data zone,234,71,49,23,16,18,77,5
N20001234,NI data zone,93,60,66,8,38,13,177,13
N20001235,NI data zone,274,5,5,2,4,3,20,8
N20001237,NI data zone,391,2,4,1,0,3,30,4
N20001238,NI data zone,243,2,0,0,0,1,20,2
N20001244,NI data zone,721,3,0,1,1,1,60,7
N20001245,NI data zone,410,0,4,0,2,0,17,6
N20001247,NI data zone,406,3,17,3,1,7,39,5
N20001249,NI data zone,112,89,168,22,61,15,166,15
N20001251,NI data zone,628,3,0,0,2,3,49,10
N20001253,NI data zone,665,6,3,0,5,8,46,4
N20001254,NI data zone,453,39,20,11,11,23,81,20
N20001255,NI data zone,654,5,7,0,12,19,38,18
N20001256,NI data zone,443,0,4,0,3,12,16,4
N20001257,NI data zone,545,7,7,0,4,6,26,4
N20001258,NI data zone,912,2,4,0,0,2,58,2
N20001259,NI data zone,652,2,3,0,5,2,51,5
N20001260,NI data zone,443,1,2,1,7,10,40,1
N20001261,NI data zone,765,6,8,0,11,4,36,26
N20001262,NI data zone,382,3,2,0,0,10,40,12
N20001263,NI data zone,521,4,2,6,3,3,48,11
N20001264,NI data zone,695,8,2,0,9,7,75,27
N20001265,NI data zone,463,2,3,0,2,5,37,3
N20001266,NI data zone,536,3,8,2,11,5,26,13
N20001268,NI data zone,567,12,8,3,1,1,25,7
N20001269,NI data zone,416,6,3,0,9,5,32,42
N20001270,NI data zone,293,8,4,0,2,4,30,5
N20001271,NI data zone,349,12,7,2,13,4,51,10
N20001272,NI data zone,567,9,5,0,4,9,45,9
N20001274,NI data zone,298,8,14,1,4,6,49,11
N20001275,NI data zone,236,28,23,1,12,7,78,9
N20001276,NI data zone,417,13,14,0,8,2,33,7
N20001277,NI data zone,635,9,16,0,3,0,52,23
N20001278,NI data zone,477,8,3,2,6,10,44,4
N20001280,NI data zone,187,14,13,5,5,10,72,4
N20001281,NI data zone,208,11,4,1,10,6,66,3
N20001282,NI data zone,470,10,1,0,1,5,25,3
N20001283,NI data zone,312,1,1,0,9,3,30,3
N20001284,NI data zone,618,2,1,0,0,2,19,3
N20001285,NI data zone,193,25,24,2,13,7,68,4
N20001286,NI data zone,266,3,4,4,1,6,16,8
N20001287,NI data zone,359,13,2,0,2,7,22,5
N20001288,NI data zone,466,2,2,2,5,0,33,7
N20001289,NI data zone,187,51,20,9,33,9,84,6
N20001290,NI data zone,1021,2,1,2,16,3,79,7
N20001291,NI data zone,516,1,6,0,7,0,41,7
N20001292,NI data zone,147,84,91,19,74,20,119,14
N20001293,NI data zone,337,3,0,0,1,0,15,11
N20001294,NI data zone,52,33,47,9,21,17,51,0
N20001295,NI data zone,303,1,1,0,5,0,23,7
N20001296,NI data zone,106,55,41,13,67,13,102,4
N20001304,NI data zone,459,15,8,2,5,12,34,7
N20001307,NI data zone,369,6,9,0,15,88,87,12
N20001311,NI data zone,303,6,2,0,12,14,56,5
N20001312,NI data zone,294,4,9,0,16,27,59,5
N20001315,NI data zone,344,2,7,0,21,37,50,7
N20001316,NI data zone,462,3,1,3,9,9,22,19
N20001318,NI data zone,419,2,8,2,4,9,24,7
N20001319,NI data zone,286,0,4,0,4,16,26,4
N20001321,NI data zone,476,1,3,0,17,24,56,14
N20001322,NI data zone,371,5,0,0,8,20,43,6
N20001324,NI data zone,425,1,8,0,12,21,42,7
N20001330,NI data zone,336,1,0,0,6,10,54,4
N20001333,NI data zone,367,2,4,0,8,7,55,4
N20001334,NI data zone,615,4,4,1,5,6,62,6
N20001336,NI data zone,206,2,0,0,3,13,16,12
N20001337,NI data zone,394,0,0,0,3,0,22,3
N20001340,NI data zone,389,2,1,0,4,12,23,5
N20001342,NI data zone,521,0,0,0,5,7,40,6
N20001345,NI data zone,420,5,1,3,5,5,40,3
N20001347,NI data zone,269,2,3,1,1,0,23,15
N20001350,NI data zone,394,4,0,0,0,3,32,5
N20001352,NI data zone,464,8,6,1,3,3,42,8
N20001354,NI data zone,366,8,1,2,4,5,35,9
N20001355,NI data zone,422,4,3,1,0,3,36,7
N20001357,NI data zone,366,6,1,1,3,1,29,4
N20001361,NI data zone,471,1,1,1,0,6,52,9
N20001364,NI data zone,535,0,1,0,3,1,48,6
N20001366,NI data zone,361,4,0,2,1,2,30,11
N20001367,NI data zone,366,3,4,0,5,4,17,6
N20001368,NI data zone,213,2,1,0,0,3,30,2
N20001389,NI data zone,22,157,138,12,56,12,159,7
N20001396,NI data zone,33,150,113,12,43,3,58,19
N20001398,NI data zone,9,103,99,19,36,8,78,11
N20001406,NI data zone,15,109,89,7,39,2,57,9
N20001409,NI data zone,2,61,86,11,23,1,40,4
N20001410,NI data zone,7,103,89,42,25,0,26,6
N20001412,NI data zone,17,79,51,19,30,5,65,7
N20001414,NI data zone,234,28,19,3,14,1,36,4
N20001415,NI data zone,12,124,74,24,49,0,46,0
N20001418,NI data zone,146,40,53,2,27,30,103,12
N20001421,NI data zone,277,29,32,5,19,0,31,56
N20001423,NI data zone,194,5,3,0,3,15,10,12
N20001425,NI data zone,206,3,4,3,14,20,40,1
N20001426,NI data zone,347,5,1,4,5,4,23,9
N20001429,NI data zone,505,8,0,1,7,5,31,8
N20001430,NI data zone,219,1,1,0,4,24,41,4
N20001431,NI data zone,265,0,1,1,8,4,26,12
N20001432,NI data zone,286,0,2,0,1,0,14,4
N20001433,NI data zone,373,9,0,1,12,1,17,12
N20001434,NI data zone,309,3,5,4,2,7,24,2
N20001435,NI data zone,271,5,6,0,5,24,33,3
N20001437,NI data zone,366,13,2,0,8,0,23,6
N20001438,NI data zone,369,0,1,1,7,0,14,25
N20001439,NI data zone,416,12,3,1,32,38,68,8
N20001440,NI data zone,367,2,3,0,0,5,15,5
N20001441,NI data zone,355,13,9,1,17,43,85,4
N20001442,NI data zone,439,5,4,0,2,11,18,5
N20001443,NI data zone,292,3,2,2,6,27,29,4
N20001444,NI data zone,580,6,5,0,4,11,27,8
N20001445,NI data zone,270,1,9,0,26,18,54,15
N20002252,NI data zone,77,104,96,16,59,10,159,13
N20002253,NI data zone,50,46,58,11,49,4,76,2
N20002254,NI data zone,63,121,66,24,67,7,137,1
N20002255,NI data zone,38,51,47,14,17,4,99,3
N20002256,NI data zone,88,89,90,11,58,2,99,1
N20002257,NI data zone,226,105,98,15,45,12,122,6
N20002258,NI data zone,63,119,178,38,54,14,110,6
N20002259,NI data zone,21,139,132,26,54,8,111,2
N20002260,NI data zone,70,168,121,13,51,12,99,2
N20002261,NI data zone,55,109,162,16,29,5,98,7
N20002262,NI data zone,50,79,156,15,45,4,130,8
N20002263,NI data zone,90,72,94,9,43,13,96,7
N20002264,NI data zone,88,116,139,9,53,0,101,4
N20002265,NI data zone,27,53,77,9,18,3,68,5
N20002266,NI data zone,96,89,148,9,51,6,121,5
N20002267,NI data zone,51,33,100,13,20,10,73,5
N20002268,NI data zone,199,169,305,45,142,7,201,9
N20002269,NI data zone,63,142,125,33,69,12,176,10
N20002270,NI data zone,43,33,56,15,14,7,77,7
N20002271,NI data zone,84,75,127,5,28,4,122,6
N20002272,NI data zone,113,97,92,16,43,8,171,2
N20002273,NI data zone,118,82,132,17,52,4,131,6
N20002274,NI data zone,63,144,125,19,43,0,110,7
N20002275,NI data zone,121,91,161,7,54,2,159,4
N20002276,NI data zone,132,74,134,23,45,10,65,10
N20002277,NI data zone,90,193,123,27,134,1,129,10
N20002278,NI data zone,37,113,115,10,39,5,60,8
N20002279,NI data zone,35,58,50,5,27,9,65,1
N20002280,NI data zone,50,113,123,9,53,5,84,3
N20002281,NI data zone,77,178,165,10,71,3,135,12
N20002282,NI data zone,47,111,101,15,34,7,102,2
N20002283,NI data zone,31,56,44,6,15,6,56,5
N20002284,NI data zone,79,241,207,26,138,12,124,12
N20002285,NI data zone,39,182,128,14,72,2,104,3
N20002286,NI data zone,29,148,72,7,64,10,55,4
N20002305,NI data zone,307,57,49,19,32,8,86,6
N20002307,NI data zone,166,68,18,11,24,4,49,1
N20002326,NI data zone,127,123,118,34,47,8,108,12
N20002330,NI data zone,75,102,98,37,53,5,144,10
N20002331,NI data zone,151,46,21,7,17,11,154,1
N20002333,NI data zone,62,63,97,35,38,1,86,6
N20002337,NI data zone,35,138,93,25,71,8,100,1
N20002338,NI data zone,47,63,47,9,18,12,62,0
N20002339,NI data zone,48,76,120,26,54,14,90,3
N20002340,NI data zone,29,51,62,18,17,3,47,3
N20002343,NI data zone,61,67,63,32,39,12,82,2
N20002345,NI data zone,49,90,78,21,33,8,87,6
N20002346,NI data zone,89,58,69,27,34,10,89,4
N20002347,NI data zone,56,111,115,38,41,4,144,22
N20002348,NI data zone,74,71,77,14,36,5,123,9
N20002350,NI data zone,95,82,101,12,60,17,125,4
N20002352,NI data zone,89,84,147,20,59,8,98,4
N20002353,NI data zone,226,147,123,30,64,14,216,3
N20002354,NI data zone,100,33,58,14,32,0,68,6
N20002355,NI data zone,226,60,71,11,25,3,86,8
N20002356,NI data zone,201,68,55,5,31,1,103,12
N20002357,NI data zone,162,49,68,6,39,13,88,8
N20002358,NI data zone,142,58,41,10,40,4,70,3
N20002359,NI data zone,81,24,33,4,24,6,52,0
N20002360,NI data zone,121,80,98,12,52,25,109,1
N20002361,NI data zone,214,40,33,0,26,0,72,6
N20002362,NI data zone,181,99,127,22,41,17,152,17
N20002363,NI data zone,139,78,123,12,37,6,110,5
N20002365,NI data zone,50,69,44,3,25,1,97,9
N20002366,NI data zone,87,78,124,12,39,16,129,7
N20002367,NI data zone,163,62,65,10,30,1,119,5
N20002368,NI data zone,66,83,115,22,36,5,178,10
N20002369,NI data zone,92,64,92,26,55,1,72,22
N20002370,NI data zone,26,96,106,23,40,14,162,10
N20002371,NI data zone,38,103,84,3,52,13,141,6
N20002372,NI data zone,159,114,138,20,84,8,126,41
N20002373,NI data zone,179,98,140,33,60,26,148,16
N20002374,NI data zone,43,129,104,14,35,10,153,12
N20002375,NI data zone,31,90,87,9,28,11,145,8
N20002376,NI data zone,36,51,40,12,14,17,54,3
N20002377,NI data zone,407,34,45,9,30,12,133,8
N20002378,NI data zone,306,63,49,15,17,10,59,19
N20002379,NI data zone,59,166,147,72,93,41,142,35
N20002380,NI data zone,15,100,97,31,35,15,122,6
N20002381,NI data zone,186,44,100,10,12,3,99,5
N20002382,NI data zone,26,127,139,49,76,27,175,19
N20002383,NI data zone,108,59,51,19,33,20,114,3
N20002384,NI data zone,70,82,128,8,33,6,157,11
N20002385,NI data zone,398,28,38,3,20,10,118,3
N20002386,NI data zone,38,154,109,28,78,16,212,4
N20002387,NI data zone,185,60,69,26,60,21,201,5
N20002388,NI data zone,32,162,95,49,57,16,165,5
N20002389,NI data zone,331,27,35,11,39,28,94,2
N20002390,NI data zone,278,80,73,25,43,1,81,7
N20002391,NI data zone,120,31,45,8,6,0,45,3
N20002392,NI data zone,454,62,77,17,14,8,129,4
N20002393,NI data zone,170,108,74,26,37,4,149,4
N20002394,NI data zone,65,116,104,12,35,1,130,4
N20002395,NI data zone,259,31,21,1,6,5,69,4
N20002396,NI data zone,94,55,54,13,42,0,85,7
N20002397,NI data zone,115,80,78,17,21,13,149,4
N20002398,NI data zone,169,53,49,20,20,8,134,0
N20002399,NI data zone,261,108,112,29,48,12,132,6
N20002400,NI data zone,65,55,48,16,40,4,70,6
N20002401,NI data zone,105,85,56,5,53,13,77,10
N20002402,NI data zone,106,54,53,5,53,7,131,4
N20002403,NI data zone,66,56,79,13,42,10,128,9
N20002404,NI data zone,162,74,105,39,160,21,477,7
N20002405,NI data zone,122,109,46,14,56,25,136,6
N20002406,NI data zone,204,97,83,20,25,9,121,5
N20002407,NI data zone,24,31,58,13,36,4,80,5
N20002408,NI data zone,126,116,114,26,44,7,121,12
N20002409,NI data zone,58,114,58,27,25,15,114,2
N20002410,NI data zone,66,98,60,10,44,0,115,2
N20002411,NI data zone,139,85,84,38,59,12,170,6
N20002412,NI data zone,145,90,66,5,35,5,124,6
N20002413,NI data zone,62,53,47,19,30,3,83,6
N20002414,NI data zone,96,90,77,30,40,7,172,19
N20002415,NI data zone,71,69,101,24,38,9,119,7
N20002416,NI data zone,59,89,102,15,38,15,90,7
N20002417,NI data zone,80,147,109,17,47,4,103,7
N20002418,NI data zone,93,58,57,31,51,5,129,2
N20002419,NI data zone,71,31,31,10,45,3,81,7
N20002420,NI data zone,92,53,115,36,38,14,124,2
N20002421,NI data zone,67,44,42,6,26,8,79,4
N20002422,NI data zone,53,43,40,13,30,5,79,6
N20002423,NI data zone,102,65,132,10,38,5,140,10
N20002424,NI data zone,138,94,108,17,28,6,134,8
N20002425,NI data zone,141,126,138,13,84,8,109,3
N20002426,NI data zone,85,119,79,19,33,0,121,4
N20002427,NI data zone,111,132,82,25,53,8,103,4
N20002428,NI data zone,31,59,50,11,28,4,51,0
N20002429,NI data zone,24,139,85,6,45,21,239,13
N20002430,NI data zone,108,108,48,5,32,11,108,9
N20002431,NI data zone,30,107,72,12,48,8,159,3
N20002432,NI data zone,50,128,67,35,42,19,126,17
N20002433,NI data zone,71,183,48,2,34,2,92,1
N20002434,NI data zone,6,117,45,7,25,3,57,7
N20002435,NI data zone,103,166,88,10,94,13,185,10
N20002436,NI data zone,68,123,63,19,73,7,95,2
N20002437,NI data zone,136,186,103,16,87,13,161,9
N20002438,NI data zone,42,157,68,22,92,3,89,2
N20002439,NI data zone,135,268,87,19,111,7,131,7
N20002440,NI data zone,42,232,132,16,103,4,104,11
N20002441,NI data zone,77,179,147,37,48,5,122,3
N20002442,NI data zone,50,188,61,19,94,4,126,5
N20002443,NI data zone,25,111,108,10,46,4,104,4
N20002444,NI data zone,49,221,94,3,73,4,112,21
N20002445,NI data zone,51,204,102,14,53,9,141,7
N20002446,NI data zone,27,215,113,26,99,4,113,6
N20002447,NI data zone,47,207,101,14,96,5,103,9
N20002448,NI data zone,56,135,88,16,65,0,115,10
N20002449,NI data zone,31,232,84,10,89,0,95,7
N20002450,NI data zone,58,177,85,12,62,3,131,4
N20002451,NI data zone,27,236,82,12,124,5,94,13
N20002452,NI data zone,53,187,41,13,83,0,113,14
N20002453,NI data zone,73,116,80,17,64,8,91,7
N20002454,NI data zone,114,170,88,14,86,2,141,7
N20002455,NI data zone,86,113,49,7,32,0,87,1
N20002456,NI data zone,332,50,37,23,24,4,181,17
N20002457,NI data zone,197,45,42,11,36,10,148,4
N20002458,NI data zone,281,64,40,32,23,6,122,2
N20002459,NI data zone,199,61,31,14,50,8,120,7
N20002460,NI data zone,81,25,16,7,17,4,91,6
N20002461,NI data zone,251,91,80,25,36,22,220,4
N20002462,NI data zone,103,85,53,13,43,10,164,6
N20002463,NI data zone,225,50,37,5,15,6,104,9
N20002464,NI data zone,153,44,57,15,28,7,129,4
N20002465,NI data zone,195,56,34,15,18,19,79,9
N20002466,NI data zone,90,26,17,13,20,4,68,2
N20002467,NI data zone,260,99,75,18,30,13,157,4
N20002468,NI data zone,219,71,37,18,39,22,146,7
N20002469,NI data zone,168,41,20,4,25,27,79,4
N20002470,NI data zone,305,71,52,21,28,7,180,11
N20002471,NI data zone,176,52,31,9,23,16,99,5
N20002472,NI data zone,195,59,49,14,37,10,94,6
N20002473,NI data zone,213,58,31,4,26,8,96,9
N20002474,NI data zone,297,90,76,11,46,16,178,1
N20002475,NI data zone,187,77,60,8,25,6,93,10
N20002476,NI data zone,346,58,46,24,36,23,154,7
N20002477,NI data zone,150,47,62,15,34,6,91,5
N20002478,NI data zone,409,73,66,13,28,47,148,10
N20002479,NI data zone,182,18,8,12,15,9,90,2
N20002480,NI data zone,321,62,36,9,18,15,148,4
N20002481,NI data zone,237,126,99,26,45,19,168,10
N20002482,NI data zone,390,32,28,4,49,60,135,3
N20002483,NI data zone,426,96,54,26,34,12,153,12
N20002484,NI data zone,353,123,63,30,52,9,179,33
N20002485,NI data zone,273,23,8,1,5,2,85,9
N20002486,NI data zone,151,31,16,5,27,3,29,6
N20002487,NI data zone,474,48,41,9,34,13,114,2
N20002488,NI data zone,325,64,43,12,23,5,78,6
N20002489,NI data zone,153,64,29,6,21,1,61,4
N20002490,NI data zone,250,133,63,13,38,8,113,13
N20002491,NI data zone,222,63,67,15,44,1,138,6
N20002492,NI data zone,62,57,53,12,51,11,101,2
N20002493,NI data zone,54,81,89,8,15,8,81,18
N20002494,NI data zone,214,31,29,1,25,9,103,3
N20002495,NI data zone,418,52,41,7,27,11,106,2
N20002496,NI data zone,364,92,52,18,56,15,134,4
N20002497,NI data zone,272,38,24,10,28,0,96,5
N20002498,NI data zone,66,113,47,11,70,7,85,0
N20002499,NI data zone,260,133,49,22,89,2,133,2
N20002500,NI data zone,30,234,186,64,176,4,210,13
N20002501,NI data zone,22,160,86,37,68,4,124,2
N20002502,NI data zone,34,96,69,25,76,3,107,4
N20002503,NI data zone,47,133,85,41,59,4,193,7
N20002504,NI data zone,37,64,52,21,36,11,78,7
N20002505,NI data zone,34,157,62,36,79,7,150,5
N20002506,NI data zone,25,77,62,12,38,1,107,2
N20002507,NI data zone,15,63,48,9,33,7,49,4
N20002508,NI data zone,82,97,75,19,65,11,167,4
N20002509,NI data zone,46,141,71,18,77,8,200,3
N20002510,NI data zone,1,87,64,17,48,4,112,11
N20002511,NI data zone,9,132,71,35,80,0,170,6
N20002512,NI data zone,40,100,75,24,69,5,153,5
N20002513,NI data zone,18,93,48,11,56,17,115,1
N20002514,NI data zone,29,171,98,37,51,6,197,7
N20002515,NI data zone,40,141,70,22,77,9,195,8
N20002516,NI data zone,95,135,87,10,79,11,164,4
N20002517,NI data zone,8,95,43,27,33,11,86,6
N20002518,NI data zone,34,98,71,22,69,1,162,6
N20002519,NI data zone,21,69,60,9,51,8,76,6
N20002520,NI data zone,38,151,77,25,83,10,140,16
N20002521,NI data zone,16,117,72,27,73,2,176,4
N20002522,NI data zone,3,98,62,42,38,8,111,8
N20002523,NI data zone,8,108,71,15,34,1,115,11
N20002524,NI data zone,45,149,81,12,58,9,159,12
N20002525,NI data zone,22,90,64,27,36,9,111,10
N20002526,NI data zone,71,104,72,21,80,7,206,5
N20002527,NI data zone,22,171,123,40,61,7,196,13
N20002528,NI data zone,29,84,30,8,42,7,139,6
N20002529,NI data zone,11,72,76,29,40,1,114,6
N20002530,NI data zone,13,136,105,28,55,1,123,1
N20002531,NI data zone,18,83,43,19,41,5,108,7
N20002532,NI data zone,33,113,66,38,44,9,159,2
N20002533,NI data zone,11,106,67,17,39,1,86,11
N20002534,NI data zone,40,96,112,26,87,3,163,11
N20002535,NI data zone,19,93,85,21,34,2,103,6
N20002536,NI data zone,40,137,86,34,91,1,172,3
N20002537,NI data zone,12,120,63,18,32,0,82,3
N20002538,NI data zone,35,124,52,33,48,5,136,1
N20002539,NI data zone,33,80,74,23,58,3,143,4
N20002540,NI data zone,20,183,51,9,66,1,96,5
N20002541,NI data zone,21,169,51,12,59,8,117,26
N20002542,NI data zone,16,119,58,17,35,5,114,3
N20002543,NI data zone,26,116,32,9,23,3,56,2
N20002544,NI data zone,11,141,49,11,44,2,113,12
N20002545,NI data zone,22,286,86,20,66,3,113,3
N20002546,NI data zone,23,218,86,28,106,9,135,5
N20002547,NI data zone,98,199,73,22,101,5,124,12
N20003208,NI data zone,175,181,16,1,56,2,21,4
N20003209,NI data zone,267,129,17,0,76,10,59,6
N20003210,NI data zone,320,69,26,4,15,0,37,9
N20003211,NI data zone,515,46,0,4,9,0,24,3
N20003213,NI data zone,493,185,32,0,65,7,54,2
N20003214,NI data zone,617,137,18,2,47,0,104,10
N20003215,NI data zone,438,103,47,15,30,9,59,4
N20003216,NI data zone,583,77,20,1,14,3,30,6
N20003217,NI data zone,459,11,4,0,2,5,38,7
N20003218,NI data zone,591,7,8,0,5,6,32,1
N20003219,NI data zone,427,38,7,0,16,0,23,1
N20003220,NI data zone,494,6,2,1,12,1,28,1
N20003221,NI data zone,717,7,11,0,20,4,77,4
N20003222,NI data zone,524,27,8,0,23,0,25,1
N20003223,NI data zone,424,11,0,1,6,2,36,2
N20003225,NI data zone,711,13,12,1,2,3,15,2
N20003226,NI data zone,693,0,1,0,11,1,30,5
N20003227,NI data zone,711,2,4,1,8,1,24,12
