dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000567,NI data zone,27,67,169,35,385
N20000568,NI data zone,21,44,216,22,232
N20000569,NI data zone,45,58,172,43,366
N20000570,NI data zone,18,41,85,12,278
N20000571,NI data zone,21,58,212,30,298
N20000572,NI data zone,32,84,259,40,318
N20000573,NI data zone,45,71,245,33,333
N20000574,NI data zone,32,61,196,24,414
N20000575,NI data zone,23,64,221,35,251
N20000576,NI data zone,36,56,242,27,238
N20000577,NI data zone,26,48,182,26,206
N20000578,NI data zone,23,43,183,26,328
N20000579,NI data zone,32,49,172,52,307
N20000580,NI data zone,45,82,216,47,405
N20000581,NI data zone,15,44,166,13,185
N20000582,NI data zone,36,81,156,50,327
N20000583,NI data zone,30,56,123,42,265
N20000584,NI data zone,32,65,249,37,301
N20000585,NI data zone,28,42,104,41,264
N20000586,NI data zone,30,37,137,46,296
N20000587,NI data zone,31,81,220,47,366
N20000588,NI data zone,21,60,142,52,281
N20000589,NI data zone,13,54,128,23,239
N20000590,NI data zone,19,50,117,23,244
N20000591,NI data zone,16,48,104,38,245
N20000592,NI data zone,27,59,174,54,340
N20000593,NI data zone,21,53,153,42,340
N20000594,NI data zone,22,39,117,27,206
N20000595,NI data zone,30,59,178,31,318
N20000596,NI data zone,11,43,134,14,251
N20000597,NI data zone,11,35,124,13,154
N20000598,NI data zone,8,33,88,13,354
N20000599,NI data zone,25,52,125,30,259
N20000600,NI data zone,21,52,161,18,290
N20000601,NI data zone,15,41,108,14,268
N20000602,NI data zone,27,37,145,25,239
N20000603,NI data zone,27,44,154,14,366
N20000604,NI data zone,14,20,73,12,182
N20000605,NI data zone,19,30,94,21,227
N20000606,NI data zone,20,41,101,25,213
N20000607,NI data zone,15,32,79,16,164
N20000608,NI data zone,12,53,128,22,234
N20000609,NI data zone,38,65,217,24,289
N20000610,NI data zone,28,62,165,24,265
N20000611,NI data zone,22,39,84,7,259
N20000612,NI data zone,23,35,76,8,313
N20000613,NI data zone,13,41,106,11,157
N20000614,NI data zone,34,80,182,66,416
N20000615,NI data zone,18,40,61,0,293
N20000616,NI data zone,10,33,79,4,217
N20000617,NI data zone,10,40,104,7,170
N20000618,NI data zone,22,47,100,6,245
N20000619,NI data zone,17,37,89,10,237
N20000620,NI data zone,28,32,174,29,350
N20000621,NI data zone,36,112,257,29,365
N20000622,NI data zone,18,36,110,14,282
N20000623,NI data zone,20,40,168,18,284
N20000624,NI data zone,6,18,42,8,224
N20000625,NI data zone,19,62,150,20,278
N20000626,NI data zone,25,42,106,20,271
N20000627,NI data zone,30,53,138,17,289
N20000628,NI data zone,25,45,133,24,238
N20000629,NI data zone,25,39,147,40,224
N20000630,NI data zone,19,29,67,13,274
N20000631,NI data zone,12,47,85,6,228
N20000632,NI data zone,23,50,92,13,252
N20000633,NI data zone,20,45,125,14,202
N20000634,NI data zone,13,31,73,6,272
N20000635,NI data zone,21,59,261,38,267
N20000636,NI data zone,34,67,169,18,282
N20000637,NI data zone,25,46,146,30,327
N20000638,NI data zone,28,57,161,24,212
N20000639,NI data zone,16,54,162,13,285
N20000640,NI data zone,39,68,218,38,360
N20000641,NI data zone,29,56,212,32,397
N20000642,NI data zone,22,40,118,39,201
N20000643,NI data zone,22,43,211,27,223
N20000645,NI data zone,31,68,159,62,337
N20000646,NI data zone,19,54,122,28,334
N20000648,NI data zone,44,52,153,65,288
N20000649,NI data zone,42,85,183,48,417
N20000650,NI data zone,15,30,122,19,205
N20000651,NI data zone,31,64,200,56,411
N20000652,NI data zone,27,54,184,41,274
N20000653,NI data zone,38,66,172,59,354
N20000655,NI data zone,29,40,103,33,231
N20000656,NI data zone,18,33,85,21,145
N20000657,NI data zone,29,66,178,43,352
N20000658,NI data zone,22,50,133,40,260
N20000659,NI data zone,16,39,104,21,238
N20000660,NI data zone,25,37,116,17,382
N20000661,NI data zone,25,48,170,32,289
N20000662,NI data zone,15,41,138,14,253
N20000663,NI data zone,24,28,96,23,296
N20000766,NI data zone,11,34,55,4,221
N20000769,NI data zone,12,49,75,8,339
N20000771,NI data zone,7,51,69,8,282
N20000772,NI data zone,6,23,47,8,137
N20000773,NI data zone,16,46,65,9,289
N20000774,NI data zone,8,13,30,1,175
N20000777,NI data zone,7,25,46,1,143
N20000778,NI data zone,7,24,36,7,180
N20000779,NI data zone,5,26,64,5,245
N20000780,NI data zone,1,4,14,4,139
N20000781,NI data zone,14,42,61,4,298
N20000782,NI data zone,12,42,58,5,284
N20000783,NI data zone,27,51,105,9,389
N20000784,NI data zone,12,33,46,1,291
N20000785,NI data zone,17,37,52,4,360
N20000786,NI data zone,5,14,60,11,187
N20000825,NI data zone,15,18,132,22,133
N20000844,NI data zone,25,56,105,7,326
N20000847,NI data zone,10,24,54,5,220
