dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000615,NI data zone,42,46,48,31,0
N20000616,NI data zone,40,47,56,24,3
N20000617,NI data zone,71,39,30,8,0
N20000618,NI data zone,76,67,54,18,3
N20000619,NI data zone,52,55,37,28,0
N20000620,NI data zone,118,92,74,48,11
N20000621,NI data zone,135,91,44,15,0
N20000622,NI data zone,58,61,60,21,0
N20000623,NI data zone,96,56,21,4,0
N20000624,NI data zone,27,47,64,33,13
N20000625,NI data zone,121,62,35,11,0
N20000626,NI data zone,86,71,30,2,1
N20000627,NI data zone,84,68,52,3,0
N20000628,NI data zone,100,69,32,1,0
N20000629,NI data zone,73,66,28,5,0
N20000630,NI data zone,32,64,75,40,4
N20000631,NI data zone,51,53,49,18,0
N20000632,NI data zone,64,53,52,20,1
N20000633,NI data zone,68,64,30,8,0
N20000634,NI data zone,40,61,53,22,1
N20000635,NI data zone,177,43,18,5,0
N20000636,NI data zone,84,78,37,5,0
N20000637,NI data zone,116,93,35,8,0
N20000638,NI data zone,106,61,25,4,0
N20000639,NI data zone,100,66,37,5,1
N20000640,NI data zone,144,81,37,2,0
N20000641,NI data zone,151,72,25,3,0
N20000642,NI data zone,73,52,21,4,0
N20000643,NI data zone,144,44,7,2,0
N20000645,NI data zone,94,78,47,5,2
N20000646,NI data zone,90,64,58,28,2
N20000648,NI data zone,115,56,29,5,0
N20000649,NI data zone,123,90,44,13,1
N20000650,NI data zone,65,50,22,10,1
N20000651,NI data zone,121,73,49,12,2
N20000652,NI data zone,110,62,24,6,0
N20000653,NI data zone,118,62,37,6,0
N20000655,NI data zone,69,50,21,9,0
N20000656,NI data zone,47,31,30,2,0
N20000657,NI data zone,106,72,35,8,1
N20000658,NI data zone,74,57,34,6,0
N20000659,NI data zone,58,60,36,18,7
N20000660,NI data zone,78,93,73,23,1
N20000661,NI data zone,110,51,33,9,0
N20000662,NI data zone,79,64,35,13,5
N20000663,NI data zone,49,56,69,18,3
N20000766,NI data zone,29,47,45,25,3
N20000769,NI data zone,39,62,49,29,4
N20000771,NI data zone,31,50,53,48,4
N20000772,NI data zone,25,27,33,16,1
N20000773,NI data zone,23,55,49,45,8
N20000774,NI data zone,15,34,37,29,10
N20000777,NI data zone,16,29,31,25,1
N20000778,NI data zone,25,38,45,38,8
N20000779,NI data zone,19,41,69,53,16
N20000780,NI data zone,10,31,44,47,6
N20000781,NI data zone,26,57,66,35,2
N20000782,NI data zone,19,50,70,58,8
N20000783,NI data zone,42,73,81,55,6
N20000784,NI data zone,24,50,48,43,1
N20000785,NI data zone,25,53,83,56,4
N20000786,NI data zone,35,40,49,19,4
N20000825,NI data zone,102,34,21,14,0
N20000844,NI data zone,46,73,78,37,2
N20000847,NI data zone,37,55,51,21,5
N20000850,NI data zone,24,37,39,36,9
N20000851,NI data zone,30,49,74,54,5
N20000852,NI data zone,36,62,61,40,3
N20000853,NI data zone,34,77,89,58,17
N20000854,NI data zone,61,104,21,5,0
N20000855,NI data zone,85,97,37,15,0
N20000856,NI data zone,46,70,55,32,2
N20000857,NI data zone,148,143,19,6,0
N20000858,NI data zone,64,59,52,33,7
N20000859,NI data zone,119,50,34,10,0
N20000860,NI data zone,82,67,55,15,1
N20000861,NI data zone,72,73,41,5,0
N20000862,NI data zone,96,72,45,12,0
N20000863,NI data zone,63,44,24,9,3
N20000864,NI data zone,29,33,23,9,5
N20000865,NI data zone,89,57,41,18,3
N20000866,NI data zone,95,67,30,8,0
N20000867,NI data zone,60,55,48,17,2
N20000868,NI data zone,81,61,36,13,0
N20000869,NI data zone,84,50,34,11,0
N20000870,NI data zone,27,48,65,55,2
N20000871,NI data zone,80,59,46,14,1
N20000872,NI data zone,126,60,38,8,1
N20000873,NI data zone,34,53,49,24,1
N20000874,NI data zone,19,31,44,34,4
N20000875,NI data zone,94,67,40,19,4
N20000876,NI data zone,75,41,21,6,0
N20000877,NI data zone,40,73,84,47,9
N20000878,NI data zone,74,46,16,4,1
N20000879,NI data zone,72,38,32,7,0
N20000880,NI data zone,42,51,60,44,6
N20000881,NI data zone,110,81,44,24,1
N20000882,NI data zone,85,117,25,13,3
N20000883,NI data zone,89,64,45,11,0
N20000884,NI data zone,35,50,45,40,10
N20000885,NI data zone,82,56,42,25,3
N20000886,NI data zone,36,52,63,41,9
N20000887,NI data zone,54,68,81,72,2
N20000888,NI data zone,129,67,37,16,0
N20000889,NI data zone,71,32,11,1,0
N20000890,NI data zone,106,62,22,3,0
N20000891,NI data zone,66,55,70,26,5
N20000892,NI data zone,52,74,75,46,6
N20000893,NI data zone,66,90,68,40,3
N20000894,NI data zone,49,84,66,28,3
N20000895,NI data zone,52,37,24,9,0
N20000896,NI data zone,60,115,74,35,1
N20000897,NI data zone,104,59,12,4,0
N20000898,NI data zone,61,41,37,13,0
N20000899,NI data zone,63,73,46,12,1
N20000900,NI data zone,56,48,45,29,1
N20000901,NI data zone,75,48,25,10,1
N20000902,NI data zone,127,70,37,8,0
N20000903,NI data zone,35,58,61,43,2
N20000904,NI data zone,39,88,79,60,5
N20000905,NI data zone,56,87,43,22,3
N20000906,NI data zone,26,41,31,11,3
N20000907,NI data zone,81,64,58,9,5
N20000908,NI data zone,65,78,38,32,4
N20000909,NI data zone,144,82,31,5,0
N20000910,NI data zone,38,55,67,30,2
N20000911,NI data zone,17,40,51,29,7
N20000912,NI data zone,63,54,44,23,4
N20000913,NI data zone,56,45,28,26,5
N20000914,NI data zone,61,63,41,27,2
N20000915,NI data zone,47,51,41,12,0
N20000916,NI data zone,100,51,37,8,1
N20000917,NI data zone,109,69,30,20,0
N20000918,NI data zone,28,53,49,46,11
N20000919,NI data zone,54,58,59,35,1
N20000920,NI data zone,82,58,36,26,4
N20000921,NI data zone,27,36,44,32,10
N20000922,NI data zone,43,46,62,38,6
N20000923,NI data zone,96,62,31,4,1
N20000924,NI data zone,61,56,59,35,4
N20000925,NI data zone,50,37,22,5,0
N20000926,NI data zone,73,56,30,16,2
N20000927,NI data zone,63,76,68,39,5
N20000928,NI data zone,59,40,42,14,2
N20000929,NI data zone,92,44,37,8,0
N20000930,NI data zone,52,31,31,19,1
N20000931,NI data zone,89,66,57,29,4
N20000932,NI data zone,55,83,55,23,4
N20000933,NI data zone,68,64,36,21,5
N20000934,NI data zone,114,88,32,20,3
N20000935,NI data zone,81,62,42,11,1
N20000936,NI data zone,47,68,102,36,6
N20000937,NI data zone,104,76,40,12,2
N20000938,NI data zone,74,54,23,14,2
N20000939,NI data zone,76,49,30,8,1
N20000940,NI data zone,64,55,31,11,1
N20000941,NI data zone,117,98,63,20,4
N20000942,NI data zone,62,61,35,20,3
N20000943,NI data zone,91,62,29,11,4
N20000944,NI data zone,155,30,20,4,0
N20000945,NI data zone,112,45,21,3,0
N20000946,NI data zone,98,54,17,3,0
N20000947,NI data zone,45,59,48,31,2
N20000948,NI data zone,40,57,41,15,2
N20000949,NI data zone,49,77,85,43,5
N20000950,NI data zone,118,63,37,10,2
N20000951,NI data zone,55,47,21,8,0
N20000952,NI data zone,110,54,12,0,0
N20000953,NI data zone,126,86,26,3,0
N20000954,NI data zone,85,48,9,2,0
N20000955,NI data zone,93,49,4,0,0
N20000956,NI data zone,185,78,46,1,0
N20000957,NI data zone,77,55,53,24,3
N20000958,NI data zone,159,104,45,6,0
N20000959,NI data zone,117,72,17,3,0
N20000960,NI data zone,127,63,25,2,0
N20000961,NI data zone,107,50,7,1,0
N20000962,NI data zone,158,81,25,5,0
N20000963,NI data zone,93,43,6,1,1
N20000964,NI data zone,85,83,34,10,3
N20000965,NI data zone,121,69,15,0,0
N20000966,NI data zone,99,54,34,13,0
N20000967,NI data zone,79,46,26,14,3
N20000968,NI data zone,118,58,31,9,0
N20000969,NI data zone,125,85,33,5,0
N20000970,NI data zone,123,67,30,6,0
N20000971,NI data zone,134,55,8,1,0
N20000972,NI data zone,64,19,15,5,0
N20000973,NI data zone,71,42,9,1,0
N20000974,NI data zone,114,52,12,0,0
N20000975,NI data zone,156,83,33,5,2
N20000976,NI data zone,150,83,46,12,0
N20000977,NI data zone,91,67,39,8,3
N20000978,NI data zone,118,53,21,3,0
N20000979,NI data zone,150,65,13,1,0
N20000980,NI data zone,73,81,63,30,5
N20000981,NI data zone,134,56,38,8,0
N20000982,NI data zone,162,68,19,1,0
N20000983,NI data zone,131,109,52,13,2
N20000984,NI data zone,145,62,20,4,0
N20000985,NI data zone,73,40,11,2,0
N20000986,NI data zone,67,46,31,4,0
N20000987,NI data zone,94,71,50,2,0
N20000988,NI data zone,138,96,32,4,0
N20000989,NI data zone,55,78,59,22,1
N20000990,NI data zone,75,55,22,2,0
N20000991,NI data zone,75,49,20,3,0
N20000992,NI data zone,84,50,16,1,0
N20000993,NI data zone,126,73,37,6,0
N20000994,NI data zone,105,100,41,6,0
N20000995,NI data zone,192,89,16,1,0
N20000996,NI data zone,45,68,75,34,5
N20000997,NI data zone,162,89,24,8,0
N20000998,NI data zone,81,62,20,1,0
N20000999,NI data zone,27,53,26,10,3
N20001000,NI data zone,43,60,61,33,5
N20001001,NI data zone,132,72,17,3,0
N20001002,NI data zone,44,39,23,9,2
N20001003,NI data zone,53,59,31,17,2
N20001004,NI data zone,45,73,55,17,1
N20001005,NI data zone,122,68,19,0,0
N20001006,NI data zone,148,90,33,9,1
N20001007,NI data zone,128,93,58,13,0
N20001008,NI data zone,122,75,27,0,0
N20001009,NI data zone,46,78,51,20,3
N20001010,NI data zone,112,49,16,2,0
N20001011,NI data zone,81,91,67,24,6
N20001012,NI data zone,42,54,49,29,1
N20001013,NI data zone,105,73,45,18,1
N20001014,NI data zone,62,82,68,31,8
N20001015,NI data zone,135,90,34,9,3
N20001016,NI data zone,119,80,53,10,1
N20001017,NI data zone,87,58,23,1,0
N20001018,NI data zone,39,35,30,15,3
N20001019,NI data zone,123,73,38,8,0
N20001020,NI data zone,143,75,26,3,0
N20001021,NI data zone,141,73,25,8,1
N20001022,NI data zone,105,60,26,1,0
N20001023,NI data zone,109,60,24,6,0
N20001024,NI data zone,187,76,18,2,2
N20001025,NI data zone,62,40,12,6,0
N20001026,NI data zone,74,72,59,15,3
N20001027,NI data zone,92,39,34,17,2
N20001028,NI data zone,121,79,47,9,0
N20001029,NI data zone,108,61,19,9,0
N20001030,NI data zone,90,37,20,5,0
N20001031,NI data zone,75,39,28,2,0
N20001032,NI data zone,92,44,20,6,0
N20001033,NI data zone,120,59,51,13,2
N20001034,NI data zone,117,76,24,2,0
N20001035,NI data zone,137,62,8,0,0
N20001036,NI data zone,98,48,15,1,0
N20001037,NI data zone,110,57,19,0,0
N20001038,NI data zone,91,86,63,25,4
N20001039,NI data zone,123,96,42,8,0
N20001040,NI data zone,51,78,76,39,4
N20001041,NI data zone,63,86,68,30,6
N20001042,NI data zone,80,42,9,0,0
N20001043,NI data zone,42,35,26,3,0
N20001044,NI data zone,60,83,88,56,16
N20001045,NI data zone,88,53,46,17,0
N20001046,NI data zone,149,119,71,28,2
N20001047,NI data zone,142,78,33,5,0
N20001048,NI data zone,67,36,19,4,0
N20001049,NI data zone,55,49,28,9,2
N20001050,NI data zone,125,79,25,0,0
N20001051,NI data zone,83,65,32,1,0
N20001052,NI data zone,100,63,25,0,0
N20001053,NI data zone,101,108,90,35,6
N20001054,NI data zone,89,62,29,8,0
N20001055,NI data zone,43,46,30,8,0
N20001056,NI data zone,116,72,41,10,0
N20001057,NI data zone,70,48,25,21,5
N20001058,NI data zone,65,82,63,26,5
N20001059,NI data zone,98,73,49,16,3
N20001060,NI data zone,77,57,31,5,0
N20001061,NI data zone,106,67,33,11,0
N20001062,NI data zone,71,36,12,3,0
N20001063,NI data zone,152,80,45,6,0
N20001064,NI data zone,48,72,45,29,6
N20001065,NI data zone,64,75,77,26,3
N20001066,NI data zone,185,71,9,2,0
N20001067,NI data zone,75,49,18,2,0
N20001068,NI data zone,108,47,13,2,0
N20001069,NI data zone,107,60,26,2,0
N20001070,NI data zone,176,53,23,2,1
N20001071,NI data zone,97,42,19,3,0
N20001072,NI data zone,126,57,25,6,0
N20001073,NI data zone,142,60,23,3,0
N20001074,NI data zone,94,56,17,2,0
N20001075,NI data zone,107,58,27,3,0
N20001076,NI data zone,144,93,38,6,0
N20001077,NI data zone,148,101,28,1,0
N20001078,NI data zone,62,57,18,2,0
N20001079,NI data zone,51,82,34,17,0
N20001080,NI data zone,60,71,20,8,1
N20001081,NI data zone,79,51,33,32,6
N20001082,NI data zone,26,47,45,47,6
N20001083,NI data zone,38,63,65,42,3
N20001084,NI data zone,22,37,60,38,4
N20001085,NI data zone,136,99,14,2,0
N20001086,NI data zone,19,50,81,52,4
N20001087,NI data zone,87,61,35,12,0
N20001088,NI data zone,131,65,16,12,1
N20001089,NI data zone,9,28,48,28,11
N20001090,NI data zone,65,65,75,40,1
N20001091,NI data zone,67,61,43,20,0
N20001092,NI data zone,33,63,61,47,2
N20001093,NI data zone,32,64,60,52,8
N20001094,NI data zone,41,51,59,27,1
N20001095,NI data zone,49,85,65,58,1
N20001096,NI data zone,69,74,59,22,2
N20001097,NI data zone,31,50,48,39,7
N20001098,NI data zone,75,57,35,16,1
N20001099,NI data zone,47,76,39,25,20
N20001100,NI data zone,60,68,41,31,0
N20001101,NI data zone,48,65,68,30,4
N20001102,NI data zone,57,53,24,18,1
N20001103,NI data zone,64,100,28,5,4
N20001104,NI data zone,69,79,63,28,2
N20001105,NI data zone,71,59,13,8,0
N20001106,NI data zone,127,74,43,11,0
N20001107,NI data zone,55,85,32,10,6
N20001108,NI data zone,46,53,20,8,3
N20001109,NI data zone,42,56,75,31,3
N20001110,NI data zone,36,56,45,25,2
N20001111,NI data zone,57,75,47,25,1
N20001112,NI data zone,59,106,28,8,2
N20001113,NI data zone,90,68,41,22,4
N20001114,NI data zone,65,62,42,24,6
N20001115,NI data zone,119,68,30,4,1
N20001116,NI data zone,56,55,43,25,2
N20001117,NI data zone,51,55,31,23,0
N20001118,NI data zone,83,66,60,13,0
N20001119,NI data zone,80,49,19,7,0
N20001120,NI data zone,90,75,27,9,0
N20001121,NI data zone,147,62,19,2,1
N20001122,NI data zone,48,55,21,4,1
N20001123,NI data zone,76,57,31,4,2
N20001124,NI data zone,142,84,37,6,1
N20001125,NI data zone,80,46,25,6,0
N20001126,NI data zone,152,82,30,15,4
N20001127,NI data zone,91,65,33,13,1
N20001128,NI data zone,54,44,28,9,0
N20001129,NI data zone,88,71,47,17,2
N20001130,NI data zone,83,88,23,8,1
N20001131,NI data zone,86,86,25,7,2
N20001132,NI data zone,80,93,52,22,1
N20001133,NI data zone,120,107,39,8,0
N20001134,NI data zone,128,80,22,8,1
N20001135,NI data zone,122,104,35,6,2
N20001136,NI data zone,89,66,18,3,1
N20001137,NI data zone,126,74,31,4,1
N20001138,NI data zone,104,65,34,19,0
N20001139,NI data zone,125,125,25,6,1
N20001140,NI data zone,118,65,41,13,1
N20001141,NI data zone,58,31,35,35,10
N20001142,NI data zone,112,94,24,3,1
N20001143,NI data zone,89,85,36,6,1
N20001144,NI data zone,153,61,31,7,1
N20001145,NI data zone,114,24,2,2,0
N20001146,NI data zone,97,35,11,0,0
N20001147,NI data zone,54,65,64,32,0
N20001148,NI data zone,103,43,9,9,11
N20001149,NI data zone,122,101,53,13,1
N20001150,NI data zone,89,48,29,11,2
N20001151,NI data zone,94,88,15,5,1
N20001152,NI data zone,101,44,17,8,1
N20001153,NI data zone,124,75,14,2,1
N20001154,NI data zone,57,38,26,18,0
N20001155,NI data zone,103,57,42,9,1
N20001156,NI data zone,162,89,18,7,0
N20001157,NI data zone,66,60,17,8,2
N20001158,NI data zone,106,89,37,19,2
N20001159,NI data zone,111,45,25,17,2
N20001160,NI data zone,104,42,31,7,0
N20001161,NI data zone,128,57,30,15,1
N20001162,NI data zone,73,61,17,2,0
N20001163,NI data zone,96,44,11,5,0
N20001164,NI data zone,139,63,43,6,0
N20001165,NI data zone,110,55,37,9,1
N20001166,NI data zone,164,63,19,4,0
N20001167,NI data zone,154,81,19,1,0
N20001168,NI data zone,158,80,22,5,0
N20001169,NI data zone,125,51,18,9,0
N20001170,NI data zone,148,48,11,2,0
N20001171,NI data zone,80,56,28,2,0
N20001172,NI data zone,192,59,11,1,0
N20001173,NI data zone,116,44,15,2,0
N20001174,NI data zone,143,64,13,3,0
N20001175,NI data zone,106,32,13,2,0
N20001176,NI data zone,106,44,11,3,0
N20001177,NI data zone,118,51,14,2,0
N20001178,NI data zone,117,70,14,1,0
N20001179,NI data zone,97,42,23,3,1
N20001180,NI data zone,64,36,4,1,0
N20001181,NI data zone,81,49,15,1,1
N20001182,NI data zone,123,42,8,0,0
N20001183,NI data zone,107,55,11,3,0
N20001184,NI data zone,208,87,41,8,0
N20001185,NI data zone,128,48,13,2,1
N20001186,NI data zone,149,90,28,3,0
N20001187,NI data zone,67,44,15,8,0
N20001188,NI data zone,96,42,21,3,0
N20001189,NI data zone,114,50,10,3,1
N20001190,NI data zone,82,68,34,7,0
N20001191,NI data zone,111,42,8,1,0
N20001192,NI data zone,71,73,41,10,2
N20001193,NI data zone,95,36,17,1,0
N20001194,NI data zone,72,38,26,14,0
N20001195,NI data zone,159,85,27,6,0
N20001196,NI data zone,102,48,6,1,0
N20001197,NI data zone,92,55,26,3,0
N20001198,NI data zone,114,60,11,0,0
N20001199,NI data zone,146,66,18,0,0
N20001200,NI data zone,96,54,21,0,1
N20001201,NI data zone,120,49,17,5,0
N20001202,NI data zone,80,55,28,8,2
N20001203,NI data zone,70,52,36,12,2
N20001204,NI data zone,93,59,20,4,0
N20001205,NI data zone,63,40,39,25,11
N20001206,NI data zone,22,34,39,9,2
N20001207,NI data zone,23,45,49,36,7
N20001208,NI data zone,44,60,72,49,14
N20001209,NI data zone,61,58,28,15,3
N20001210,NI data zone,81,54,43,18,1
N20001211,NI data zone,70,74,49,25,5
N20001212,NI data zone,53,42,10,1,0
N20001213,NI data zone,59,46,29,22,0
N20001214,NI data zone,98,53,41,25,5
N20001215,NI data zone,111,110,58,9,1
N20001216,NI data zone,65,34,20,6,4
N20001217,NI data zone,117,77,43,15,7
N20001218,NI data zone,90,48,10,2,0
N20001219,NI data zone,86,61,21,4,1
N20001220,NI data zone,92,82,42,12,0
N20001221,NI data zone,112,55,22,2,0
N20001222,NI data zone,42,64,39,24,9
N20001223,NI data zone,90,107,77,23,5
N20001224,NI data zone,55,64,62,28,10
N20001225,NI data zone,41,41,19,6,0
N20001226,NI data zone,93,65,23,1,0
N20001227,NI data zone,53,68,41,23,2
N20001228,NI data zone,35,57,59,44,6
N20001229,NI data zone,59,57,62,20,14
N20001230,NI data zone,145,72,16,1,0
N20001231,NI data zone,134,67,15,1,0
N20001232,NI data zone,110,74,47,23,2
N20001233,NI data zone,98,63,26,1,0
N20001234,NI data zone,122,63,16,2,0
N20001235,NI data zone,17,37,50,46,8
N20001237,NI data zone,63,61,41,12,0
N20001238,NI data zone,37,51,35,5,0
N20001244,NI data zone,108,125,74,19,2
N20001245,NI data zone,55,70,39,13,0
N20001247,NI data zone,62,69,45,28,3
N20001249,NI data zone,56,99,88,45,13
N20001251,NI data zone,102,97,59,12,0
N20001253,NI data zone,128,79,52,23,1
N20001254,NI data zone,61,71,48,21,1
