dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000624,NI data zone,61,63,12,10,3,9,7,9,10
N20000625,NI data zone,2,75,30,47,3,47,7,9,9
N20000626,NI data zone,23,29,32,28,20,16,7,32,3
N20000627,NI data zone,20,28,30,57,19,11,10,29,3
N20000628,NI data zone,27,23,44,35,25,7,11,24,6
N20000629,NI data zone,25,9,34,39,26,4,14,17,4
N20000630,NI data zone,58,49,20,17,14,8,19,19,12
N20000631,NI data zone,30,39,19,29,9,16,14,14,2
N20000632,NI data zone,21,40,20,26,16,31,20,9,4
N20000633,NI data zone,15,23,36,36,17,9,18,14,2
N20000634,NI data zone,20,51,18,19,10,30,15,14,4
N20000635,NI data zone,7,39,54,89,20,14,7,8,3
N20000636,NI data zone,17,18,36,54,32,13,9,21,3
N20000637,NI data zone,44,41,28,44,15,16,14,38,11
N20000638,NI data zone,20,20,52,31,35,7,10,21,2
N20000639,NI data zone,25,23,41,53,23,16,8,20,1
N20000640,NI data zone,33,16,37,71,42,11,11,36,7
N20000641,NI data zone,16,47,44,72,9,32,11,16,5
N20000642,NI data zone,10,16,21,43,21,6,10,20,3
N20000643,NI data zone,10,24,45,77,14,6,8,15,0
N20000645,NI data zone,25,22,28,50,36,8,11,29,16
N20000646,NI data zone,31,56,31,46,15,27,16,16,4
N20000648,NI data zone,10,15,34,63,30,7,7,29,10
N20000649,NI data zone,29,26,31,87,29,13,14,32,10
N20000650,NI data zone,11,22,29,39,9,13,7,15,4
N20000651,NI data zone,27,35,24,81,35,12,11,18,12
N20000652,NI data zone,16,33,23,62,28,5,4,22,8
N20000653,NI data zone,14,17,24,79,42,6,3,25,8
N20000655,NI data zone,14,17,21,41,20,5,7,18,6
N20000656,NI data zone,13,9,26,30,10,2,3,12,4
N20000657,NI data zone,27,13,29,73,33,11,6,24,4
N20000658,NI data zone,19,13,28,51,23,4,10,19,4
N20000659,NI data zone,17,43,21,39,9,25,14,7,3
N20000660,NI data zone,60,73,25,32,12,24,10,24,6
N20000661,NI data zone,22,26,26,68,19,13,9,16,6
N20000662,NI data zone,22,40,28,36,14,17,14,21,5
N20000663,NI data zone,27,34,14,30,18,16,29,20,9
N20000766,NI data zone,12,41,7,8,5,44,12,9,9
N20000769,NI data zone,13,34,5,19,19,59,14,8,10
N20000771,NI data zone,19,49,12,15,15,30,28,9,9
N20000772,NI data zone,8,47,9,5,2,9,5,4,14
N20000773,NI data zone,13,42,2,4,18,34,46,10,10
N20000774,NI data zone,10,64,9,1,2,26,6,3,7
N20000777,NI data zone,16,21,3,6,11,17,16,4,8
N20000778,NI data zone,16,75,9,6,5,14,16,5,4
N20000779,NI data zone,24,92,6,7,9,28,20,7,5
N20000780,NI data zone,10,110,1,2,0,3,8,3,1
N20000781,NI data zone,19,45,8,8,9,30,30,25,12
N20000782,NI data zone,25,85,3,8,2,36,23,7,18
N20000783,NI data zone,26,75,17,19,9,50,33,8,20
N20000784,NI data zone,15,47,6,6,3,45,22,14,9
N20000785,NI data zone,37,58,9,9,9,38,30,14,16
N20000786,NI data zone,29,57,12,4,1,16,4,6,18
N20000825,NI data zone,0,80,41,4,3,18,3,3,21
N20000844,NI data zone,40,43,16,24,17,48,23,19,7
N20000847,NI data zone,23,66,10,9,1,31,11,9,8
N20000850,NI data zone,22,49,13,10,4,15,9,15,10
N20000851,NI data zone,28,64,11,16,3,53,21,7,12
N20000852,NI data zone,26,56,11,18,6,49,16,11,10
N20000853,NI data zone,44,107,15,19,7,46,17,13,9
N20000854,NI data zone,4,82,55,17,1,2,2,4,21
N20000855,NI data zone,9,131,47,15,2,0,3,2,25
N20000856,NI data zone,44,41,30,22,12,21,13,16,6
N20000857,NI data zone,4,136,85,42,4,5,0,11,28
N20000858,NI data zone,37,81,24,19,7,17,10,11,10
N20000859,NI data zone,8,98,44,21,3,7,7,11,13
N20000860,NI data zone,35,27,35,28,24,16,11,34,8
N20000861,NI data zone,26,38,36,30,15,6,15,16,7
N20000862,NI data zone,17,66,44,27,8,26,13,11,12
N20000863,NI data zone,32,40,15,24,9,3,2,13,6
N20000864,NI data zone,11,32,20,8,1,13,8,3,6
N20000865,NI data zone,36,60,32,21,4,28,7,12,5
N20000866,NI data zone,12,68,45,23,7,20,6,11,7
N20000867,NI data zone,14,55,25,22,6,28,19,8,3
N20000868,NI data zone,20,77,22,18,9,22,3,10,10
N20000869,NI data zone,30,33,36,29,13,10,11,11,7
N20000870,NI data zone,38,56,10,17,8,33,17,11,5
N20000871,NI data zone,32,49,36,24,10,17,8,13,11
N20000872,NI data zone,10,82,47,27,4,26,5,11,19
N20000873,NI data zone,23,47,19,17,7,24,14,7,6
N20000874,NI data zone,14,32,10,13,6,41,11,7,1
N20000875,NI data zone,14,80,31,31,6,34,5,13,10
N20000876,NI data zone,14,53,34,11,2,7,5,11,7
N20000877,NI data zone,26,75,21,17,7,48,26,18,13
N20000878,NI data zone,2,30,31,43,1,21,5,3,6
N20000879,NI data zone,24,49,29,17,6,9,3,6,6
N20000880,NI data zone,34,53,17,18,8,31,24,11,6
N20000881,NI data zone,28,102,36,20,9,26,10,18,12
N20000882,NI data zone,14,76,58,54,1,6,3,5,26
N20000883,NI data zone,31,60,46,18,7,13,10,15,9
N20000884,NI data zone,26,92,8,8,1,22,11,6,5
N20000885,NI data zone,15,84,28,10,4,34,13,5,16
N20000886,NI data zone,21,53,8,9,11,51,25,8,13
N20000887,NI data zone,35,59,20,24,13,49,46,14,18
N20000888,NI data zone,15,77,48,33,5,31,12,11,18
N20000889,NI data zone,7,17,24,33,8,5,7,13,1
N20000890,NI data zone,19,33,41,50,17,12,3,12,6
N20000891,NI data zone,29,101,26,13,2,17,7,6,20
N20000892,NI data zone,36,79,23,19,14,46,17,11,9
N20000893,NI data zone,22,101,29,25,8,39,13,12,15
N20000894,NI data zone,21,62,9,21,14,59,23,10,11
N20000895,NI data zone,7,51,18,12,6,6,7,6,9
N20000896,NI data zone,27,61,13,32,15,67,33,19,18
N20000897,NI data zone,19,53,33,39,8,8,5,12,6
N20000898,NI data zone,19,60,28,13,3,11,7,3,9
N20000899,NI data zone,12,59,21,16,7,26,11,10,33
N20000900,NI data zone,27,51,23,15,9,29,9,7,9
N20000901,NI data zone,1,50,26,26,7,19,1,5,24
N20000902,NI data zone,40,44,36,61,18,8,7,21,10
N20000903,NI data zone,15,66,18,13,9,38,16,12,11
N20000904,NI data zone,52,94,12,14,7,43,21,13,15
N20000905,NI data zone,21,85,34,17,3,20,8,5,18
N20000906,NI data zone,11,34,21,6,1,12,6,7,12
N20000907,NI data zone,11,92,34,17,6,18,13,7,18
N20000908,NI data zone,19,85,21,14,6,26,13,14,19
N20000909,NI data zone,34,34,46,70,27,2,12,26,10
N20000910,NI data zone,18,69,18,13,5,37,14,8,9
N20000911,NI data zone,38,34,11,12,9,16,8,11,7
N20000912,NI data zone,11,84,23,19,7,18,14,3,10
N20000913,NI data zone,12,64,19,19,2,23,4,2,15
N20000914,NI data zone,11,86,37,12,4,19,13,4,9
N20000915,NI data zone,14,63,14,23,0,19,5,2,9
N20000916,NI data zone,14,66,43,18,9,12,6,11,18
N20000917,NI data zone,7,102,39,17,10,21,4,10,18
N20000918,NI data zone,46,60,8,13,3,28,15,7,6
N20000919,NI data zone,29,70,14,18,6,35,12,6,14
N20000920,NI data zone,31,101,19,10,4,11,8,11,10
N20000921,NI data zone,10,55,4,13,12,20,12,11,12
N20000922,NI data zone,20,52,20,11,10,33,18,9,23
N20000923,NI data zone,21,74,20,25,12,11,8,15,10
N20000924,NI data zone,16,78,12,25,9,39,8,10,19
N20000925,NI data zone,9,36,22,18,3,9,2,6,12
N20000926,NI data zone,16,74,24,18,5,12,9,13,6
N20000927,NI data zone,13,75,21,27,7,66,17,10,16
N20000928,NI data zone,18,52,16,16,4,16,9,8,17
N20000929,NI data zone,11,83,30,15,3,17,6,9,8
N20000930,NI data zone,29,44,22,15,4,5,4,3,7
N20000931,NI data zone,16,89,28,28,12,31,10,9,24
N20000932,NI data zone,16,119,24,9,3,20,9,9,10
N20000933,NI data zone,12,65,30,16,7,23,10,9,22
N20000934,NI data zone,28,98,44,14,4,18,12,11,26
N20000935,NI data zone,37,24,33,37,20,7,15,19,2
N20000936,NI data zone,52,60,17,16,9,42,31,25,8
N20000937,NI data zone,23,64,48,29,10,28,6,14,12
N20000938,NI data zone,13,68,29,18,3,15,6,6,10
N20000939,NI data zone,12,46,33,19,3,17,9,6,19
N20000940,NI data zone,8,55,32,13,1,26,8,7,12
N20000941,NI data zone,24,83,51,28,16,43,17,19,22
N20000942,NI data zone,9,51,32,21,4,27,10,6,18
N20000943,NI data zone,13,89,38,19,4,8,6,4,18
N20000944,NI data zone,3,80,56,5,0,26,3,4,31
N20000945,NI data zone,10,60,39,35,16,7,5,8,3
N20000946,NI data zone,19,59,35,23,8,6,6,14,1
N20000947,NI data zone,46,41,15,19,12,24,7,15,6
N20000948,NI data zone,15,34,8,25,11,35,12,6,8
N20000949,NI data zone,36,60,28,33,20,38,20,19,7
N20000950,NI data zone,25,64,45,34,23,11,7,14,6
N20000951,NI data zone,14,28,16,18,14,17,9,14,1
N20000952,NI data zone,35,17,34,43,9,4,5,26,4
N20000953,NI data zone,45,13,30,46,33,5,10,53,5
N20000954,NI data zone,19,18,20,38,10,4,0,31,3
N20000955,NI data zone,19,7,30,50,11,1,7,19,2
N20000956,NI data zone,45,34,51,71,34,10,7,52,7
N20000957,NI data zone,24,58,26,33,14,23,13,13,8
N20000958,NI data zone,50,51,63,52,27,9,10,47,4
N20000959,NI data zone,35,28,33,54,22,3,6,27,2
N20000960,NI data zone,43,16,33,55,21,0,6,42,3
N20000961,NI data zone,18,14,28,58,12,4,4,25,4
N20000962,NI data zone,36,33,41,72,22,12,8,38,6
N20000963,NI data zone,18,35,35,31,6,7,0,7,5
N20000964,NI data zone,63,44,24,24,12,4,4,32,6
N20000965,NI data zone,26,11,34,62,14,6,4,43,7
N20000966,NI data zone,31,45,41,32,7,10,12,6,15
N20000967,NI data zone,49,25,28,34,8,5,3,15,2
N20000968,NI data zone,27,48,40,41,9,11,16,12,11
N20000969,NI data zone,41,31,43,59,14,8,16,28,7
N20000970,NI data zone,36,48,37,39,12,20,11,13,11
N20000971,NI data zone,28,16,37,66,15,0,7,27,3
N20000972,NI data zone,8,37,23,12,4,3,3,6,7
N20000973,NI data zone,13,10,25,39,12,4,4,12,3
N20000974,NI data zone,23,25,29,52,12,5,8,25,0
N20000975,NI data zone,61,53,54,58,16,5,10,23,3
N20000976,NI data zone,33,122,46,24,9,15,10,15,17
N20000977,NI data zone,23,44,38,23,16,17,9,29,8
N20000978,NI data zone,20,60,48,27,7,4,8,15,6
N20000979,NI data zone,24,36,61,62,10,8,7,16,3
N20000980,NI data zone,31,74,32,24,10,38,19,12,11
N20000981,NI data zone,30,60,54,42,8,13,11,15,4
N20000982,NI data zone,36,21,48,72,16,6,7,35,5
N20000983,NI data zone,92,48,42,45,15,6,5,51,3
N20000984,NI data zone,26,41,51,61,9,9,7,20,7
N20000985,NI data zone,18,30,16,29,7,4,4,11,7
N20000986,NI data zone,30,18,25,22,19,8,6,16,5
N20000987,NI data zone,28,38,32,48,13,6,13,31,9
N20000988,NI data zone,57,52,45,42,22,8,11,28,5
N20000989,NI data zone,34,55,21,20,8,34,26,9,7
N20000990,NI data zone,23,13,30,35,17,5,6,18,6
N20000991,NI data zone,23,16,29,36,11,5,4,13,7
N20000992,NI data zone,29,7,26,42,12,2,5,23,4
N20000993,NI data zone,37,29,57,51,17,6,13,26,6
N20000994,NI data zone,29,32,43,39,23,7,14,57,6
N20000995,NI data zone,37,30,62,101,26,6,6,25,3
N20000996,NI data zone,30,87,27,21,7,20,8,14,14
N20000997,NI data zone,44,59,49,65,8,9,16,21,12
N20000998,NI data zone,36,22,20,44,15,4,5,18,1
N20000999,NI data zone,13,22,15,14,6,28,12,5,2
N20001000,NI data zone,39,79,15,14,4,19,12,10,10
N20001001,NI data zone,46,45,36,48,12,3,4,26,4
N20001002,NI data zone,13,26,16,16,13,8,6,18,4
N20001003,NI data zone,24,40,27,18,7,18,10,11,8
N20001004,NI data zone,22,29,26,31,10,40,18,11,0
N20001005,NI data zone,33,13,32,60,18,3,4,43,2
N20001006,NI data zone,27,63,51,76,11,13,11,27,1
N20001007,NI data zone,23,39,43,60,32,37,20,22,18
N20001008,NI data zone,36,30,36,56,21,5,8,31,6
N20001009,NI data zone,33,41,12,29,11,31,12,13,15
N20001010,NI data zone,24,26,42,50,11,3,5,17,3
N20001011,NI data zone,45,61,40,38,12,28,18,19,7
N20001012,NI data zone,27,75,19,8,2,22,10,5,7
N20001013,NI data zone,32,45,38,51,17,14,9,30,6
N20001014,NI data zone,33,85,25,35,12,25,18,16,3
N20001015,NI data zone,20,46,68,45,20,13,16,32,12
N20001016,NI data zone,28,42,45,57,15,30,13,22,11
N20001017,NI data zone,19,55,27,18,12,9,11,10,10
N20001018,NI data zone,24,27,21,10,4,14,10,7,4
N20001019,NI data zone,19,73,46,43,19,9,10,12,12
N20001020,NI data zone,26,28,52,70,13,10,7,29,10
N20001021,NI data zone,21,100,44,19,3,14,4,14,29
N20001022,NI data zone,19,30,39,48,16,6,12,20,3
N20001023,NI data zone,13,49,49,35,16,12,4,12,12
N20001024,NI data zone,9,98,65,39,3,13,3,10,45
N20001025,NI data zone,11,21,37,23,5,3,6,9,5
N20001026,NI data zone,42,68,22,22,9,28,12,10,9
N20001027,NI data zone,16,63,35,20,4,11,9,12,14
N20001028,NI data zone,34,63,52,33,17,22,11,15,7
N20001029,NI data zone,19,90,33,14,7,8,3,5,19
N20001030,NI data zone,12,31,33,33,8,6,4,19,5
N20001031,NI data zone,18,32,25,29,13,2,6,15,4
N20001032,NI data zone,16,56,32,21,8,10,7,8,5
N20001033,NI data zone,57,41,32,55,14,7,10,19,10
N20001034,NI data zone,16,26,50,65,24,8,9,19,3
N20001035,NI data zone,8,20,39,65,23,9,5,34,4
